dataset,sensor,strategy,epsilon,w,P_min,P_max,delta_t,k_ext,epsilon_count,mae,normalized_mae,kl_divergence,release_rate,avg_n_tau,n_logical_timestamps
mobility,traffic_speed_eps1.0,uniform,1.0,8,2,,2,4,0.0,114.86249776688153,0.9571874813906794,0.8453427151321496,1.0,8.57074340527578,417
mobility,traffic_speed_eps1.0,uniform,1.0,8,2,4.0,2,4,0.0,239.92392038387428,1.9993660031989522,0.38804036882674037,1.0,8.57074340527578,417
mobility,traffic_speed_eps1.0,uniform,1.0,8,2,8.0,2,4,0.0,124.88563509095071,1.0407136257579226,0.6402269712480424,1.0,8.57074340527578,417
mobility,traffic_speed_eps1.0,uniform,1.0,8,2,16.0,2,4,0.0,114.86249776688153,0.9571874813906794,0.8453427151321496,1.0,8.57074340527578,417
mobility,traffic_speed_eps1.0,uniform,1.0,8,3,,2,4,0.0,114.86249776688153,0.9571874813906794,0.8453427151321496,1.0,8.57074340527578,417
mobility,traffic_speed_eps1.0,uniform,1.0,8,3,4.0,2,4,0.0,239.92392038387428,1.9993660031989522,0.38804036882674037,1.0,8.57074340527578,417
mobility,traffic_speed_eps1.0,uniform,1.0,8,3,8.0,2,4,0.0,124.88563509095071,1.0407136257579226,0.6402269712480424,1.0,8.57074340527578,417
mobility,traffic_speed_eps1.0,uniform,1.0,8,3,16.0,2,4,0.0,114.86249776688153,0.9571874813906794,0.8453427151321496,1.0,8.57074340527578,417
mobility,traffic_speed_eps1.0,uniform,1.0,8,4,,2,4,0.0,114.86249776688153,0.9571874813906794,0.8453427151321496,1.0,8.57074340527578,417
mobility,traffic_speed_eps1.0,uniform,1.0,8,4,4.0,2,4,0.0,239.92392038387428,1.9993660031989522,0.38804036882674037,1.0,8.57074340527578,417
mobility,traffic_speed_eps1.0,uniform,1.0,8,4,8.0,2,4,0.0,124.88563509095071,1.0407136257579226,0.6402269712480424,1.0,8.57074340527578,417
mobility,traffic_speed_eps1.0,uniform,1.0,8,4,16.0,2,4,0.0,114.86249776688153,0.9571874813906794,0.8453427151321496,1.0,8.57074340527578,417
mobility,traffic_speed_eps1.0,uniform,1.0,8,6,,2,4,0.0,114.5715759841045,0.9547631332008708,0.4819543377120103,1.0,8.624697336561743,413
mobility,traffic_speed_eps1.0,uniform,1.0,8,6,8.0,2,4,0.0,124.70441678249463,1.0392034731874553,0.5230870915190473,1.0,8.624697336561743,413
mobility,traffic_speed_eps1.0,uniform,1.0,8,6,16.0,2,4,0.0,114.5715759841045,0.9547631332008708,0.4819543377120103,1.0,8.624697336561743,413
mobility,traffic_speed_eps1.0,uniform,1.0,8,1,,4,0,0.0,79.89885465648759,0.6658237888040632,0.8358289120223763,1.0,12.44976076555024,209
mobility,traffic_speed_eps1.0,uniform,1.0,8,1,4.0,4,0,0.0,242.20961540825158,2.0184134617354297,0.8480896556928463,1.0,12.44976076555024,209
mobility,traffic_speed_eps1.0,uniform,1.0,8,1,8.0,4,0,0.0,121.13789677643736,1.009482473136978,0.8129135805019919,1.0,12.44976076555024,209
mobility,traffic_speed_eps1.0,uniform,1.0,8,1,16.0,4,0,0.0,79.89885465648759,0.6658237888040632,0.8358289120223763,1.0,12.44976076555024,209
mobility,traffic_speed_eps1.0,uniform,1.0,8,2,,4,0,0.0,79.89885465648759,0.6658237888040632,0.8358289120223763,1.0,12.44976076555024,209
mobility,traffic_speed_eps1.0,uniform,1.0,8,2,4.0,4,0,0.0,242.20961540825158,2.0184134617354297,0.8480896556928463,1.0,12.44976076555024,209
mobility,traffic_speed_eps1.0,uniform,1.0,8,2,8.0,4,0,0.0,121.13789677643736,1.009482473136978,0.8129135805019919,1.0,12.44976076555024,209
