dataset,sensor,strategy,epsilon,w,P_min,P_max,delta_t,k_ext,epsilon_count,mae,normalized_mae,kl_divergence,release_rate,avg_n_tau,n_logical_timestamps
energy,power_kw_eps0.5,uniform,0.5,8,3,4.0,1,2,0.0,197.4393496140933,3.9487869922818657,0.7264396650442033,0.9982705235850372,7.857597143574437,35849
energy,power_kw_eps0.5,uniform,0.5,8,3,8.0,1,2,0.0,102.65525245626465,2.053105049125293,0.965285069339673,0.9982705235850372,7.857597143574437,35849
energy,power_kw_eps0.5,uniform,0.5,8,3,16.0,1,2,0.0,101.04519348921998,2.0209038697843997,0.9582051232341932,0.9982705235850372,7.857597143574437,35849
energy,power_kw_eps0.5,uniform,0.5,8,4,,1,2,0.0,101.04519348921998,2.0209038697843997,0.9582051232341932,0.9982705235850372,7.857597143574437,35849
energy,power_kw_eps0.5,uniform,0.5,8,4,4.0,1,2,0.0,197.4393496140933,3.9487869922818657,0.7264396650442033,0.9982705235850372,7.857597143574437,35849
energy,power_kw_eps0.5,uniform,0.5,8,4,8.0,1,2,0.0,102.65525245626465,2.053105049125293,0.965285069339673,0.9982705235850372,7.857597143574437,35849
energy,power_kw_eps0.5,uniform,0.5,8,4,16.0,1,2,0.0,101.04519348921998,2.0209038697843997,0.9582051232341932,0.9982705235850372,7.857597143574437,35849
energy,power_kw_eps0.5,uniform,0.5,8,6,,1,2,0.0,101.04519348921998,2.0209038697843997,0.9582051232341932,0.9982705235850372,7.857597143574437,35849
energy,power_kw_eps0.5,uniform,0.5,8,6,8.0,1,2,0.0,102.65525245626465,2.053105049125293,0.965285069339673,0.9982705235850372,7.857597143574437,35849
energy,power_kw_eps0.5,uniform,0.5,8,6,16.0,1,2,0.0,101.04519348921998,2.0209038697843997,0.9582051232341932,0.9982705235850372,7.857597143574437,35849
energy,power_kw_eps0.5,uniform,0.5,8,1,,1,4,0.0,101.05490099363169,2.0210980198726336,0.9582051232341932,0.9989950590402814,7.86330011445161,35823
energy,power_kw_eps0.5,uniform,0.5,8,1,4.0,1,4,0.0,197.469834233506,3.94939668467012,0.7264396650442033,0.9989950590402814,7.86330011445161,35823
energy,power_kw_eps0.5,uniform,0.5,8,1,8.0,1,4,0.0,102.66612852649003,2.0533225705298004,0.965285069339673,0.9989950590402814,7.86330011445161,35823
energy,power_kw_eps0.5,uniform,0.5,8,1,16.0,1,4,0.0,101.05490099363169,2.0210980198726336,0.9582051232341932,0.9989950590402814,7.86330011445161,35823
energy,power_kw_eps0.5,uniform,0.5,8,2,,1,4,0.0,101.05490099363169,2.0210980198726336,0.9582051232341932,0.9989950590402814,7.86330011445161,35823
energy,power_kw_eps0.5,uniform,0.5,8,2,4.0,1,4,0.0,197.469834233506,3.94939668467012,0.7264396650442033,0.9989950590402814,7.86330011445161,35823
energy,power_kw_eps0.5,uniform,0.5,8,2,8.0,1,4,0.0,102.66612852649003,2.0533225705298004,0.965285069339673,0.9989950590402814,7.86330011445161,35823
energy,power_kw_eps0.5,uniform,0.5,8,2,16.0,1,4,0.0,101.05490099363169,2.0210980198726336,0.9582051232341932,0.9989950590402814,7.86330011445161,35823
energy,power_kw_eps0.5,uniform,0.5,8,3,,1,4,0.0,101.05490099363169,2.0210980198726336,0.9582051232341932,0.9989950590402814,7.86330011445161,35823
energy,power_kw_eps0.5,uniform,0.5,8,3,4.0,1,4,0.0,197.469834233506,3.94939668467012,0.7264396650442033,0.9989950590402814,7.86330011445161,35823
energy,power_kw_eps0.5,uniform,0.5,8,3,8.0,1,4,0.0,102.66612852649003,2.0533225705298004,0.965285069339673,0.9989950590402814,7.86330011445161,35823
energy,power_kw_eps0.5,uniform,0.5,8,3,16.0,1,4,0.0,101.05490099363169,2.0210980198726336,0.9582051232341932,0.9989950590402814,7.86330011445161,35823
energy,power_kw_eps0.5,uniform,0.5,8,4,,1,4,0.0,101.05490099363169,2.0210980198726336,0.9582051232341932,0.9989950590402814,7.86330011445161,35823
energy,power_kw_eps0.5,uniform,0.5,8,4,4.0,1,4,0.0,197.469834233506,3.94939668467012,0.7264396650442033,0.9989950590402814,7.86330011445161,35823
energy,power_kw_eps0.5,uniform,0.5,8,4,8.0,1,4,0.0,102.66612852649003,2.0533225705298004,0.965285069339673,0.9989950590402814,7.86330011445161,35823
energy,power_kw_eps0.5,uniform,0.5,8,4,16.0,1,4,0.0,101.05490099363169,2.0210980198726336,0.9582051232341932,0.9989950590402814,7.86330011445161,35823
energy,power_kw_eps0.5,uniform,0.5,8,6,,1,4,0.0,101.05490099363169,2.0210980198726336,0.9582051232341932,0.9989950590402814,7.86330011445161,35823
energy,power_kw_eps0.5,uniform,0.5,8,6,8.0,1,4,0.0,102.66612852649003,2.0533225705298004,0.965285069339673,0.9989950590402814,7.86330011445161,35823
energy,power_kw_eps0.5,uniform,0.5,8,6,16.0,1,4,0.0,101.05490099363169,2.0210980198726336,0.9582051232341932,0.9989950590402814,7.86330011445161,35823
energy,power_kw_eps0.5,uniform,0.5,8,1,,2,0,0.0,100.37601258658165,2.007520251731633,0.734653592406187,0.9947757461234925,7.911187684099372,17993
energy,power_kw_eps0.5,uniform,0.5,8,1,4.0,2,0,0.0,197.8127113247377,3.956254226494754,0.7288955476145222,0.9947757461234925,7.911187684099372,17993
energy,power_kw_eps0.5,uniform,0.5,8,1,8.0,2,0,0.0,102.25295465329589,2.045059093065918,0.7509816907388666,0.9947757461234925,7.911187684099372,17993
energy,power_kw_eps0.5,uniform,0.5,8,1,16.0,2,0,0.0,100.37601258658165,2.007520251731633,0.734653592406187,0.9947757461234925,7.911187684099372,17993
energy,power_kw_eps0.5,uniform,0.5,8,2,,2,0,0.0,100.37601258658165,2.007520251731633,0.734653592406187,0.9947757461234925,7.911187684099372,17993
energy,power_kw_eps0.5,uniform,0.5,8,2,4.0,2,0,0.0,197.8127113247377,3.956254226494754,0.7288955476145222,0.9947757461234925,7.911187684099372,17993
energy,power_kw_eps0.5,uniform,0.5,8,2,8.0,2,0,0.0,102.25295465329589,2.045059093065918,0.7509816907388666,0.9947757461234925,7.911187684099372,17993
