dataset,sensor,strategy,epsilon,w,P_min,P_max,delta_t,k_ext,epsilon_count,mae,normalized_mae,kl_divergence,release_rate,avg_n_tau,n_logical_timestamps
pune,pm10_eps2.0,uniform,2.0,8,1,8.0,2,2,0.0,513.093653418342,0.513093653418342,0.8997604464396272,1.0,7.912457912457913,1782
pune,pm10_eps2.0,uniform,2.0,8,1,16.0,2,2,0.0,499.664890875062,0.499664890875062,0.6745672329273842,1.0,7.912457912457913,1782
pune,pm10_eps2.0,uniform,2.0,8,2,,2,2,0.0,499.664890875062,0.499664890875062,0.6745672329273842,1.0,7.912457912457913,1782
pune,pm10_eps2.0,uniform,2.0,8,2,4.0,2,2,0.0,965.0961124845728,0.9650961124845728,0.8716657500153968,1.0,7.912457912457913,1782
pune,pm10_eps2.0,uniform,2.0,8,2,8.0,2,2,0.0,513.093653418342,0.513093653418342,0.8997604464396272,1.0,7.912457912457913,1782
pune,pm10_eps2.0,uniform,2.0,8,2,16.0,2,2,0.0,499.664890875062,0.499664890875062,0.6745672329273842,1.0,7.912457912457913,1782
pune,pm10_eps2.0,uniform,2.0,8,3,,2,2,0.0,498.5522155580489,0.4985522155580489,0.6756644042294034,1.0,7.919101123595506,1780
pune,pm10_eps2.0,uniform,2.0,8,3,4.0,2,2,0.0,964.7823848386588,0.9647823848386587,0.869182929256289,1.0,7.919101123595506,1780
pune,pm10_eps2.0,uniform,2.0,8,3,8.0,2,2,0.0,512.0574969446499,0.5120574969446499,0.8958602356287552,1.0,7.919101123595506,1780
pune,pm10_eps2.0,uniform,2.0,8,3,16.0,2,2,0.0,498.5522155580489,0.4985522155580489,0.6756644042294034,1.0,7.919101123595506,1780
pune,pm10_eps2.0,uniform,2.0,8,4,,2,2,0.0,484.76771373257986,0.4847677137325799,0.9010971111419082,1.0,7.977828311540648,1759
pune,pm10_eps2.0,uniform,2.0,8,4,4.0,2,2,0.0,953.464908112735,0.953464908112735,0.9012262494398644,1.0,7.977828311540648,1759
pune,pm10_eps2.0,uniform,2.0,8,4,8.0,2,2,0.0,497.88076912503067,0.49788076912503065,0.9180445821620582,1.0,7.977828311540648,1759
pune,pm10_eps2.0,uniform,2.0,8,4,16.0,2,2,0.0,484.76771373257986,0.4847677137325799,0.9010971111419082,1.0,7.977828311540648,1759
