sensor,S,epsilon,w,strategy,mae,rmse,relative_error,noise_scale_theoretical,normalized_mae,kl_divergence,kl_global_utility
temperature,4,3.0,10,uniform,84.80899474803532,116.42083071462801,1.0565660667785883,87.5,0.8077047118860506,0.8573532793183144,0.5771543997106154
temperature,4,3.0,10,sample,9.714983504873048,13.443364360928564,0.11724843567778341,87.5,0.09252365242736237,0.19157629732402098,2.409157056005321
temperature,4,3.0,10,budget_absorption,23.555975159827764,34.68045775080782,0.29346467432724654,87.5,0.22434262056978824,0.38106001180023896,2.675877887787464
temperature,4,3.0,12,uniform,113.48884743059381,158.18122734521344,1.4138649504008605,105.0,1.0808461660056554,0.7631412164710625,0.8612640046681272
temperature,4,3.0,12,sample,9.565137187249627,13.97268020822842,0.11500152350018229,105.0,0.09109654464047263,0.5461622540222709,1.3659634487972778
temperature,4,3.0,12,budget_absorption,26.640400723741806,40.97578848052581,0.33189101573145807,105.0,0.2537181021308743,0.2549127892638019,1.9103010272701313
temperature,4,4.0,4,uniform,27.333854880301015,36.9775421511258,0.3405301952532033,26.25,0.26032242743143824,0.7784807130072564,0.7626471636418338
temperature,4,4.0,4,sample,6.173733782736302,9.280445765934072,0.07597603092941452,26.25,0.05879746459748859,0.07769882736255909,0.9273705810047482
temperature,4,4.0,4,budget_absorption,19.934994240534365,24.92736705615235,0.24835382754567012,26.25,0.1898570880050892,0.48719964840980445,2.7677566889181757
temperature,4,4.0,8,uniform,59.23554792631742,79.27116719527021,0.7379673591454005,52.5,0.5641480754887374,0.743283764180215,0.7824415299067929
temperature,4,4.0,8,sample,7.672798107927529,13.5741554567749,0.09308279994419556,52.5,0.0730742676945479,0.0886902182640433,1.9086102684169537
temperature,4,4.0,8,budget_absorption,37.05849759880015,46.40732155726074,0.46168158418827493,52.5,0.35293807236952524,0.49127122860261907,2.5347807204960455
temperature,4,4.0,10,uniform,70.52595815552398,102.5688527970194,0.878625367928907,65.625,0.6716757919573713,0.9491970680576408,0.6675810855772326
temperature,4,4.0,10,sample,9.958566822658183,12.763884565621522,0.1201882001100324,65.625,0.09484349354912555,0.8543074833072797,2.6060448998673067
temperature,4,4.0,10,budget_absorption,35.917027122750206,57.79992802403583,0.44746093489503574,65.625,0.3420669249785734,0.26386365491792596,2.2226698234504307
temperature,4,4.0,12,uniform,83.06114803803369,116.79292952155807,1.034791070751282,78.75,0.791058552743178,0.8097746224697274,0.6719074978706586
temperature,4,4.0,12,sample,5.739470127014749,6.794590051543298,0.06900557679092441,78.75,0.05466162025728332,0.33747459091178833,2.241025567818825
temperature,4,4.0,12,budget_absorption,60.875491692080075,108.39380627271474,0.7583980804324258,78.75,0.5797665875436198,0.2631994298806136,2.0776110328711
vibration,1,1.0,4,uniform,193.40227738659857,265.53332105830333,8.87521759774456,200.0,3.8680455477319713,0.9109789235037431,0.8088053933096744
vibration,1,1.0,4,sample,48.848002756698556,77.02271327151394,2.211892961299786,200.0,0.9769600551339711,0.3690286480740108,1.319202732882323
vibration,1,1.0,4,budget_absorption,44.58612200508463,46.21722635110235,2.0460541622460395,200.0,0.8917224401016927,3.3299976498738992,3.218653125377541
vibration,1,1.0,8,uniform,469.3286644314849,652.7663265119473,21.53746107840248,400.0,9.386573288629698,0.7541128500614417,0.6558983636899
vibration,1,1.0,8,sample,47.62790016655065,58.95663722384819,2.1250360198171587,400.0,0.952558003331013,0.9519896329609479,2.474457393873501
vibration,1,1.0,8,budget_absorption,441.3046545757729,444.71570421456636,20.25144113700536,400.0,8.826093091515457,5.845144104663467,3.6453498023756707
vibration,1,1.0,10,uniform,458.59024816956645,688.0116897957064,21.04467587303918,500.0,9.17180496339133,0.7343561042292697,0.6924356700695089
vibration,1,1.0,10,sample,37.12788055552647,48.289102465930846,1.6478740931748184,500.0,0.7425576111105293,0.7266233313436748,2.8302525727301293
vibration,1,1.0,10,budget_absorption,77.02925156008861,200.24956969946564,3.534867211623452,500.0,1.5405850312017721,3.3319958339391116,2.8959760625005
vibration,1,1.0,12,uniform,589.3200657780151,777.7644913190384,27.043858475574744,600.0,11.786401315560301,1.2681767220595836,0.8176030505548408
vibration,1,1.0,12,sample,48.22874845372171,71.49169616340448,2.1324962023894662,600.0,0.9645749690744342,1.3565716048332337,2.8918747254954824
vibration,1,1.0,12,budget_absorption,80.9539010453192,87.43651270120107,3.7149691144912786,600.0,1.619078020906384,5.474560214780585,3.646283380423001
vibration,1,2.0,4,uniform,102.8387044590215,142.12999671772656,4.719261282117686,100.0,2.05677408918043,0.8836338981682996,0.7772688776969957
vibration,1,2.0,4,sample,23.05525861923753,30.957605593650484,1.0439682562834085,100.0,0.46110517238475063,0.8453986657935805,1.8175875163268824
vibration,1,2.0,4,budget_absorption,6.8658777276044045,26.955748191904934,0.3150746705541095,100.0,0.13731755455208808,0.11586738528209273,1.7649787304565794
vibration,1,2.0,8,uniform,183.59255146806274,259.6169730336948,8.425049930239767,200.0,3.671851029361255,0.7224806303772626,0.8412913177009866
vibration,1,2.0,8,sample,16.92030687290587,21.355365016148784,0.7549411467973365,200.0,0.3384061374581174,0.5839454708356022,2.8951550262932177
vibration,1,2.0,8,budget_absorption,321.80587142047267,328.76990211233954,14.767649955741472,200.0,6.436117428409453,5.464542501511008,3.2095439633458924
vibration,1,2.0,10,uniform,263.8250650984368,373.56729016867996,12.106914624419002,250.0,5.276501301968737,0.7303288318042116,0.7432333090841525
vibration,1,2.0,10,sample,17.91956294662705,27.263612938163927,0.7953371724680018,250.0,0.358391258932541,0.52557178871895,2.5622342878835096
vibration,1,2.0,10,budget_absorption,33.110004756141684,87.31966759305477,1.5194159078370661,250.0,0.6622000951228337,0.16599338072642328,1.7154409563309743
vibration,1,2.0,12,uniform,284.6200196203125,397.44411520358057,13.061193699157744,300.0,5.692400392406251,0.8589288598427046,0.8797481235646218
vibration,1,2.0,12,sample,23.347546607003974,31.221179779022,1.0323418307717867,300.0,0.4669509321400795,1.8519182105108043,3.182942600976891
vibration,1,2.0,12,budget_absorption,78.10820402772492,101.0172612160519,3.584380268332469,300.0,1.5621640805544985,5.846620158527104,3.2916758777702175
vibration,1,3.0,4,uniform,65.51994416499512,96.20951964156626,3.0067058636234028,66.66666666666667,1.3103988832999025,0.5155121907539375,0.7756304573484988
vibration,1,3.0,4,sample,17.49258237238778,22.914613367746895,0.7920839674276227,66.66666666666667,0.3498516474477556,0.8181144725866139,1.8297479824161493
vibration,1,3.0,4,budget_absorption,6.735650502903044,24.960350830272752,0.30909855190652713,66.66666666666667,0.13471301005806088,0.03381998538731433,1.803107935666038
vibration,1,3.0,8,uniform,150.16206561186291,201.16373906909635,6.890927166116335,133.33333333333334,3.0032413122372583,0.8923140120211073,0.9378678503004972
vibration,1,3.0,8,sample,11.542057155577346,14.426182386679343,0.5149772950858726,133.33333333333334,0.23084114311154694,0.6162428883407461,2.551607605712515
vibration,1,3.0,8,budget_absorption,26.543746496721337,41.61902446288615,1.2180907546753423,133.33333333333334,0.5308749299344268,0.1263228789443575,3.1508418869989168
vibration,1,3.0,10,uniform,179.04171520114184,236.25405627171608,8.21621235776437,166.66666666666666,3.580834304022837,1.0506153300658565,0.8758837196700272
vibration,1,3.0,10,sample,19.40026581688829,27.289843971558817,0.8610562995251991,166.66666666666666,0.3880053163377658,0.518597653233159,2.051731646809682
