sensor,S,epsilon,w,strategy,mae,rmse,relative_error,noise_scale_theoretical,normalized_mae,kl_divergence,kl_global_utility
vibration,1,3.0,10,budget_absorption,38.862416829564985,52.52893464296827,1.7833937138557168,166.66666666666666,0.7772483365912997,5.495828401322537,3.4497310436285518
vibration,1,3.0,12,uniform,198.61709423961614,293.6875412719233,9.114525194988621,200.0,3.9723418847923226,0.7302383091381303,0.7406355852053281
vibration,1,3.0,12,sample,19.5912437665574,24.12371338952987,0.8662520648313864,200.0,0.391824875331148,1.3109115560601121,2.446960239798903
vibration,1,3.0,12,budget_absorption,21.684202730612938,75.62020883168461,0.9950866156715287,200.0,0.4336840546122588,0.14910587311497125,2.194105900016832
vibration,1,4.0,4,uniform,47.58014520494025,70.31366147563051,2.183449687006574,50.0,0.951602904098805,0.49184840569768984,0.7933394385474754
vibration,1,4.0,4,sample,12.454066214874556,17.620683526834725,0.5639342418450252,50.0,0.24908132429749114,0.2939695690534594,1.730608892269048
vibration,1,4.0,4,budget_absorption,15.373727130672846,19.735301230641802,0.7054993116773159,50.0,0.3074745426134569,5.660701563747894,3.07990280930196
vibration,1,4.0,8,uniform,112.79120475798207,155.5226207258782,5.175980856408561,100.0,2.2558240951596416,0.7512499676711517,0.855179210484494
vibration,1,4.0,8,sample,11.835623242192026,17.558176690160245,0.5280754687628866,100.0,0.23671246484384054,0.322567923039828,1.9333598432329344
vibration,1,4.0,8,budget_absorption,36.2170177714716,40.02358374220917,1.6619965276865214,100.0,0.7243403554294321,5.492423028066846,3.2698899396760113
vibration,1,4.0,10,uniform,118.07226457309007,164.264468343163,5.418328338760575,125.0,2.361445291461801,0.8019050933174258,0.7079280683415643
vibration,1,4.0,10,sample,9.447133267936902,12.653103337877672,0.4192990802079581,125.0,0.18894266535873805,0.5727234968781556,1.866503859896759
