dataset,sensor,clamp_mode,strategy,P,P_max,rho_split,epsilon,w,payload_bound,normalized_mae,predicted_nmae_uniform,predicted_laplace_scale,kl_divergence,release_rate,attribution_advantage,avg_n_tau_eligible,avg_n_tau,mae,deferrals,num_timestamps,trial,seed,subscription_level,scope
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.6170925341469212,80.0,4000.0,0.096602733166302,0.5088028169014085,0.063754800562759,1.0,0.9841549295774648,30.85462670734606,279,568,2,2077,4,traffic/intersection01/radar/EVO_RADAR_1
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.6465013504811599,80.0,4000.0,0.1209695070061954,0.5211267605633803,0.0628976175851175,1.0,0.9841549295774648,32.32506752405799,272,568,3,3077,4,traffic/intersection01/radar/EVO_RADAR_1
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.5527906598617339,80.0,4000.0,0.2781468497397354,0.5070422535211268,0.0629243827160493,1.0,0.9841549295774648,27.639532993086696,280,568,4,4077,4,traffic/intersection01/radar/EVO_RADAR_1
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.5209861771872327,80.0,4000.0,0.1161270016494469,0.5123239436619719,0.0632490361871805,1.0,0.9841549295774648,26.04930885936164,277,568,5,5077,4,traffic/intersection01/radar/EVO_RADAR_1
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.5539651832349749,80.0,4000.0,0.1770008599920502,0.4577464788732394,0.0626893939393939,1.0,0.9841549295774648,27.698259161748744,308,568,0,77,4,traffic/intersection01/radar/EVO_RADAR_2
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.7739557273194044,80.0,4000.0,0.0828362108820576,0.5035211267605634,0.0627853983623214,1.0,0.9841549295774648,38.697786365970224,282,568,1,1077,4,traffic/intersection01/radar/EVO_RADAR_2
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.6812026665043445,80.0,4000.0,0.096602733166302,0.5088028169014085,0.063754800562759,1.0,0.9841549295774648,34.06013332521722,279,568,2,2077,4,traffic/intersection01/radar/EVO_RADAR_2
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.701050888887743,80.0,4000.0,0.1209695070061954,0.5211267605633803,0.0628976175851175,1.0,0.9841549295774648,35.05254444438715,272,568,3,3077,4,traffic/intersection01/radar/EVO_RADAR_2
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.6140385138529577,80.0,4000.0,0.2946926482435303,0.5070422535211268,0.0629243827160493,1.0,0.9841549295774648,30.701925692647883,280,568,4,4077,4,traffic/intersection01/radar/EVO_RADAR_2
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.5812816898352063,80.0,4000.0,0.0475210384518122,0.5123239436619719,0.0632490361871805,1.0,0.9841549295774648,29.064084491760315,277,568,5,5077,4,traffic/intersection01/radar/EVO_RADAR_2
