dataset,sensor,clamp_mode,subscription_level,scope,strategy,P,epsilon,w,normalized_mae_mean,normalized_mae_std,mae_mean,mae_std,kl_divergence_mean,kl_divergence_std,release_rate_mean,release_rate_std,attribution_advantage_mean,attribution_advantage_std,avg_n_tau_mean,avg_n_tau_std,n_trials
energy,current,static,2,energy/building01,uniform,1,0.1,8,14.536662205778512,0.1269414868171975,1453.6662205778512,12.694148681719746,0.7794701246548584,0.1356223117985452,0.9993303571428572,0.0,0.1807230059296175,0.0,5.974330357142857,0.0,12
energy,current,static,2,energy/building01,uniform,1,0.25,8,5.8146665273753335,0.050774574717315,581.4666527375333,5.077457471731519,0.7789986667491378,0.1353511724375841,0.9993303571428572,0.0,0.1807230059296175,0.0,5.974330357142857,0.0,12
energy,current,static,2,energy/building01,uniform,1,0.5,8,2.90733480138608,0.0253855682899055,290.73348013860794,2.538556828990564,0.7790044969154963,0.1352402771665088,0.9993303571428572,0.0,0.1807230059296175,0.0,5.974330357142857,0.0,12
energy,current,static,2,energy/building01,uniform,1,1.0,8,1.453668938391452,0.0126910655135817,145.3668938391452,1.2691065513581792,0.7784812947950653,0.134536243596475,0.9993303571428572,0.0,0.1807230059296175,0.0,5.974330357142857,0.0,12
energy,current,static,2,energy/building01,uniform,1,2.0,8,0.726836006894139,0.0063438150005967,72.6836006894139,0.6343815000596793,0.776860405197836,0.1333997782571953,0.9993303571428572,0.0,0.1807230059296175,0.0,5.974330357142857,0.0,12
energy,current,static,2,energy/building01,uniform,1,4.0,8,0.3634195411454821,0.0031701914961173,36.34195411454821,0.3170191496117308,0.7666565038591516,0.1288192546631493,0.9993303571428572,0.0,0.1807230059296175,0.0,5.974330357142857,0.0,12
energy,current,static,2,energy/building01,uniform,1,8.0,8,0.1817113082711537,0.0015833832545459,18.171130827115377,0.158338325454591,0.7212616446542714,0.1567033906601764,0.9993303571428572,0.0,0.1807230059296175,0.0,5.974330357142857,0.0,12
energy,current,static,3,energy/building01/CT1,n_weighted,6,0.1,8,0.4676450630389862,0.0114618667242773,46.76450630389862,1.146186672427734,0.0795376617532924,0.0238673568584747,0.4972905377240517,0.0050842221022857,0.0630113771378749,9.836553048162369e-05,0.9949979157982493,0.0,6
energy,current,static,3,energy/building01/CT1,n_weighted,6,0.25,8,0.3757589567381281,0.0109999115534127,37.575895673812816,1.099991155341271,0.1281523247118029,0.0602725616282308,0.4931221342225927,0.0049998605589639,0.0638682475541678,0.0001726524717441,0.9949979157982493,0.0,6
energy,current,static,3,energy/building01/CT1,n_weighted,6,0.5,8,0.3013733603201758,0.008068922305103,30.137336032017583,0.8068922305103041,0.1999593869924902,0.0504265231034009,0.4848270112546894,0.00450550237573,0.0650823473284586,0.0001609387400119,0.9949979157982493,0.0,6
energy,current,static,3,energy/building01/CT1,n_weighted,6,1.0,8,0.2392433709645613,0.0125175715961984,23.92433709645613,1.251757159619843,0.265457084628845,0.0687954691185033,0.474324774924975,0.0085162268914289,0.0673658677270535,0.0003125746645265,0.9966655551850616,0.0,6
energy,current,static,3,energy/building01/CT1,n_weighted,6,2.0,8,0.1833436300630536,0.0052713840187226,18.334363006305363,0.5271384018722685,0.4245563252559794,0.0846361828461836,0.4479875874206845,0.0073357673317345,0.0718482797131036,0.0003495868725649,0.9955537029317773,0.0,6
energy,current,static,3,energy/building01/CT1,n_weighted,6,4.0,8,0.1384114583425012,0.0059990132006694,13.841145834250122,0.5999013200669415,0.5405466017065179,0.1818284713034761,0.4021896187618095,0.0078721621364,0.0800037718589925,0.0005952484469048,0.9966655551850616,0.0,6
energy,current,static,3,energy/building01/CT1,n_weighted,6,8.0,8,0.1030883750543333,0.0037195439465639,10.308837505433338,0.3719543946563995,0.8404711726819075,0.1393113641303464,0.324163610092253,0.0101301655441673,0.094245172083234,0.0008204671663572,0.9966655551850616,0.0,6
energy,current,static,3,energy/building01/CT1,p_gated_ba,6,0.1,8,0.4122338325498407,0.0309435776850871,41.22338325498408,3.0943577685087145,0.0364145918206648,0.01507122796831,0.1925827127561038,0.0064381093399347,0.0053789786874826,0.0002317162341465,0.9952206290985884,0.0,12
energy,current,static,3,energy/building01/CT1,p_gated_ba,6,0.25,8,0.3282573904329255,0.0256375321509795,32.82573904329256,2.563753215097959,0.1089773708674188,0.1349919112924743,0.191045163202549,0.0059234269116944,0.0107110596518753,0.0002337611708131,0.9952206290985884,0.0,12
energy,current,static,3,energy/building01/CT1,p_gated_ba,6,0.5,8,0.2847875403334479,0.0237176293658991,28.4787540333448,2.3717629365899104,0.1681380968264696,0.2529992036272506,0.1864695639287169,0.0060029985472178,0.0181819442052154,0.0005702701941133,0.9952206290985884,0.0,12
energy,current,static,3,energy/building01/CT1,p_gated_ba,6,1.0,8,0.2227713221789813,0.0298669362787785,22.277132217898128,2.986693627877853,0.1086822405970768,0.0319591893885553,0.1730576858952984,0.0128593448010138,0.0282248872118144,0.0015030179108038,0.9966655551850616,0.0,12
energy,current,static,3,energy/building01/CT1,p_gated_ba,6,2.0,8,0.1712840055323599,0.0120037924069776,17.128400553235988,1.2003792406977667,0.137500487996722,0.0666362356412534,0.1614612278166796,0.0087517293585213,0.0436366248169909,0.0008669078868623,0.9952206290985884,0.0,12
energy,current,static,3,energy/building01/CT1,p_gated_ba,6,4.0,8,0.1254824643835816,0.0038090058368653,12.548246438358165,0.3809005836865329,0.3193857952627003,0.2296007707321699,0.1351561631654996,0.0028890748085281,0.0650581951327069,0.0008872461608116,0.9952206290985884,0.0,12
energy,current,static,3,energy/building01/CT1,p_gated_ba,6,8.0,8,0.084296153538355,0.0037956130795449,8.429615353835505,0.379561307954493,0.1999163080872903,0.0961921675106673,0.0929198621762809,0.0033465481026991,0.090313294051413,0.0012376476116401,0.9952206290985884,0.0,12
energy,current,static,3,energy/building01/CT1,uniform,1,0.1,8,80.25328428548016,0.7553508068077537,8025.328428548018,75.53508068077531,0.9005270534571981,0.0837460114853407,0.9993303571428572,0.0,1.0,0.0,0.9993303571428572,0.0,12
energy,current,static,3,energy/building01/CT1,uniform,1,0.25,8,32.10131808919207,0.3021349910278433,3210.131808919207,30.213499102784315,0.900784787315532,0.0835225402949964,0.9993303571428572,0.0,1.0,0.0,0.9993303571428572,0.0,12
energy,current,static,3,energy/building01/CT1,uniform,1,0.5,8,16.050663131573536,0.1510629065398104,1605.0663131573535,15.106290653981022,0.900427022973648,0.0836414393166855,0.9993303571428572,0.0,1.0,0.0,0.9993303571428572,0.0,12
