dataset,sensor,clamp_mode,subscription_level,scope,strategy,P,epsilon,w,normalized_mae_mean,normalized_mae_std,mae_mean,mae_std,kl_divergence_mean,kl_divergence_std,release_rate_mean,release_rate_std,attribution_advantage_mean,attribution_advantage_std,avg_n_tau_mean,avg_n_tau_std,n_trials
mobility,road_occupancy,static,5,mobility/nyc/NE/cell_2_2/road_occupancy,uniform,1,1.0,16,16.429858038101173,0.9165620632941892,1642.9858038101174,91.65620632941902,0.8203920787319309,0.1914778230855845,0.784688995215311,0.0,1.0,0.0,0.784688995215311,0.0,6
mobility,road_occupancy,static,5,mobility/nyc/NE/cell_2_3/road_occupancy,n_weighted,6,2.0,4,0.4442101974050704,0.0199395434774877,44.42101974050704,1.993954347748777,1.8818736462082133,0.2808474916973642,0.3883572567783094,0.0164127154158697,0.0608643853162542,0.0037427185480593,0.7655502392344498,0.0,6
mobility,road_occupancy,static,5,mobility/nyc/NE/cell_2_3/road_occupancy,n_weighted,6,2.0,6,0.4650094340862316,0.0266002178191045,46.50094340862316,2.6600217819104524,1.4140820275339598,0.2325285760149773,0.4202551834130781,0.0248466216776553,0.0506690806861254,0.0023094010081834,0.7655502392344498,0.0,6
mobility,road_occupancy,static,5,mobility/nyc/NE/cell_2_3/road_occupancy,n_weighted,6,2.0,8,0.4820103981548065,0.0324183261295475,48.20103981548065,3.2418326129547563,1.2983068034116645,0.3754532723284046,0.4377990430622009,0.0296110018119919,0.044239187444856,0.0017745223465213,0.7655502392344498,0.0,6
mobility,road_occupancy,static,5,mobility/nyc/NE/cell_2_3/road_occupancy,n_weighted,6,2.0,10,0.5079560731077252,0.0327951296527679,50.79560731077252,3.2795129652767967,1.0836360281140858,0.333077585352856,0.44896331738437,0.0261047065752356,0.0397696822273884,0.002379162141506,0.7655502392344498,0.0,6
mobility,road_occupancy,static,5,mobility/nyc/NE/cell_2_3/road_occupancy,n_weighted,6,2.0,12,0.5162449427079369,0.0346666286314409,51.62449427079368,3.466662863144097,1.0650778963940866,0.3538893269627891,0.4641148325358852,0.0268965920048903,0.0359501783566223,0.0028849819679024,0.7655502392344498,0.0,6
mobility,road_occupancy,static,5,mobility/nyc/NE/cell_2_3/road_occupancy,n_weighted,6,2.0,16,0.5453835019250474,0.0487596575100365,54.53835019250473,4.875965751003657,0.7495190136519282,0.4176873037909766,0.4720893141945773,0.0254384714990454,0.0302316149533988,0.0018320082061801,0.7655502392344498,0.0,6
mobility,road_occupancy,static,5,mobility/nyc/NE/cell_2_3/road_occupancy,p_gated_ba,6,1.0,4,0.5081413230525823,0.0867798655081498,50.81413230525823,8.67798655081498,0.938731151018568,0.2755509686927099,0.2188249400479616,0.0391023353935739,0.1265518404545519,0.0008153321368665,0.6618705035971223,0.0,6
mobility,road_occupancy,static,5,mobility/nyc/NE/cell_2_3/road_occupancy,p_gated_ba,6,1.0,6,0.5168028083156474,0.0903351864075232,51.68028083156474,9.03351864075232,0.9396818900004638,0.2892734306703929,0.2008393285371702,0.0312280494133951,0.1260540649722965,0.0007073255460139,0.6618705035971223,0.0,6
mobility,road_occupancy,static,5,mobility/nyc/NE/cell_2_3/road_occupancy,p_gated_ba,6,1.0,8,0.5302237453203914,0.0709839930592705,53.02237453203913,7.0983993059270585,0.9887067063317442,0.2756866271970687,0.1900479616306954,0.0411027957084968,0.1253198501622871,0.0003707340411787,0.6618705035971223,0.0,6
