dataset,sensor,clamp_mode,strategy,P,P_max,rho_split,epsilon,w,payload_bound,normalized_mae,predicted_nmae_uniform,predicted_laplace_scale,kl_divergence,release_rate,attribution_advantage,avg_n_tau_eligible,avg_n_tau,mae,deferrals,num_timestamps,trial,seed,subscription_level,scope
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,6,50.0,0.1618563314133692,0.3811357996641663,19.05678998320831,0.1006163593641207,0.5395137202356028,0.0746532061357176,7.871210216000223,7.86330011445161,8.092816570668461,16496,35823,4,4077,2,energy/building01
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,6,50.0,0.1600998730957213,0.3811357996641663,19.05678998320831,0.0233256067964757,0.5338190547971974,0.0743140587268077,7.871210216000223,7.86330011445161,8.00499365478607,16700,35823,5,5077,2,energy/building01
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,8,50.0,0.1798579860958485,0.5081810662188884,25.40905331094442,0.2637528877138044,0.5237417301733523,0.0719573665328382,7.871210216000223,7.86330011445161,8.992899304792427,17061,35823,0,77,2,energy/building01
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,8,50.0,0.1786150443483808,0.5081810662188884,25.40905331094442,0.4593295809413082,0.5321162381710075,0.0719783167001454,7.871210216000223,7.86330011445161,8.930752217419045,16761,35823,1,1077,2,energy/building01
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,8,50.0,0.1796578691015084,0.5081810662188884,25.40905331094442,0.1276806444933147,0.5268682131591436,0.0719641407154653,7.871210216000223,7.86330011445161,8.982893455075422,16949,35823,2,2077,2,energy/building01
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,8,50.0,0.1783576273517675,0.5081810662188884,25.40905331094442,0.4512638776794456,0.5271752784523909,0.0717168565997001,7.871210216000223,7.86330011445161,8.917881367588375,16938,35823,3,3077,2,energy/building01
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,8,50.0,0.1779236419659574,0.5081810662188884,25.40905331094442,0.557871710264235,0.5300505261982525,0.0718631888469417,7.871210216000223,7.86330011445161,8.896182098297869,16835,35823,4,4077,2,energy/building01
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,8,50.0,0.1788766386432261,0.5081810662188884,25.40905331094442,0.3216202894995519,0.5254166317728833,0.0716505894900858,7.871210216000223,7.86330011445161,8.943831932161308,17001,35823,5,5077,2,energy/building01
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,10,50.0,0.1943688042986646,0.6352263327736104,31.761316638680523,0.2349040278682293,0.5169862937219105,0.0701185733063432,7.871210216000223,7.86330011445161,9.718440214933231,17303,35823,0,77,2,energy/building01
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,10,50.0,0.1941092230990429,0.6352263327736104,31.761316638680523,0.3612887988852015,0.5252212265862714,0.0700476023961275,7.871210216000223,7.86330011445161,9.705461154952149,17008,35823,1,1077,2,energy/building01
