dataset,sensor,clamp_mode,subscription_level,scope,normalized_mae_mean,normalized_mae_std,mae_mean,mae_std,kl_divergence_mean,kl_divergence_std,release_rate_mean,release_rate_std,attribution_advantage_mean,attribution_advantage_std,avg_n_tau_mean,avg_n_tau_std,eps_count_spent_mean,eps_count_spent_std,n_trials
traffic,speed,static,5,traffic/intersection01/lidar/OS1_LIDAR_1/speed,0.8319689394572372,0.1376881149334833,41.59844697286186,6.884405746674165,0.4807521143784869,0.2119896174770693,0.4045936395759717,0.026957217134644,0.0620376493016136,0.0031770542604138,0.9982332155477032,0.0,28.300000000000267,0.0,6
traffic,speed,static,5,traffic/intersection01/lidar/OS1_LIDAR_2/speed,0.8341057691768755,0.1396911845940338,41.705288458843775,6.9845592297016905,0.3929977944323616,0.1996817848889299,0.4045936395759717,0.026957217134644,0.0620376493016136,0.0031770542604138,0.9982332155477032,0.0,28.300000000000267,0.0,6
traffic,speed,static,5,traffic/intersection01/radar/EVO_RADAR_1/speed,0.8359803463457166,0.1372115108961303,41.79901731728583,6.860575544806515,0.5529356916737879,0.1180781447472566,0.4043374925727866,0.0278307107796522,0.0619819781967493,0.0033146609228981,0.9964349376114082,0.0,28.050000000000264,0.0,6
traffic,speed,static,5,traffic/intersection01/radar/EVO_RADAR_2/speed,0.8342599991821004,0.1383132607903598,41.71299995910502,6.915663039517989,0.5553175099492278,0.08930796025282,0.4043374925727866,0.0278307107796522,0.0619819781967493,0.0033146609228981,0.9964349376114082,0.0,28.050000000000264,0.0,6
traffic,speed,static,5,traffic/intersection01/radar/EVO_RADAR_3/speed,0.83185730096246,0.1374053162763375,41.592865048123,6.87026581381688,0.5087057357637574,0.178203034325576,0.4043374925727866,0.0278307107796522,0.0619819781967493,0.0033146609228981,0.9964349376114082,0.0,28.050000000000264,0.0,6
traffic,speed,static,5,traffic/intersection01/radar/EVO_RADAR_4/speed,0.8379763091314442,0.136361327961704,41.89881545657221,6.8180663980852,0.5034569491700815,0.1700878307312626,0.4043374925727866,0.0278307107796522,0.0619819781967493,0.0033146609228981,0.9964349376114082,0.0,28.050000000000264,0.0,6
wearable,calories_burned,static,1,health,1.054621545718371,0.1646030644491289,52.73107728591855,8.230153222456442,0.3934642984170111,0.1765452177123939,0.5966386554621849,0.0340310197164984,0.0730216213685224,0.0058118431701864,8.403361344537815,0.0,5.949999999999986,0.0,6
wearable,calories_burned,static,2,health/hospital01,1.018115043865683,0.4531487246957211,50.905752193284144,22.65743623478605,0.3684363885408241,0.2662019617769564,0.4716981132075471,0.0386677387394701,0.0745657023528769,0.0095499890989528,1.8867924528301885,0.0,5.299999999999989,0.0,6
wearable,calories_burned,static,2,health/hospital02,1.1712933945141224,0.4877463138650601,58.56466972570612,24.387315693253,0.3160032680486516,0.1790653781133231,0.4607843137254901,0.0388437746575884,0.0768926487768878,0.0103098444637376,1.8403361344537812,0.0,5.949999999999986,0.0,6
wearable,calories_burned,static,2,health/hospital03,1.0198455319000848,0.4630615164047758,50.99227659500424,23.153075820238797,0.323406616848482,0.205390542885671,0.4711538461538461,0.0349344271626633,0.0744031190612696,0.008825978958439,1.8846153846153844,0.0,5.1999999999999895,0.0,6
wearable,calories_burned,static,2,health/hospital04,1.0217677617557837,0.4405630174656711,51.08838808778919,22.02815087328356,0.375741719343964,0.2552058833781773,0.4675925925925925,0.0369211148840312,0.074586209926458,0.0097400210040869,1.7962962962962965,0.0,5.399999999999989,0.0,6
wearable,calories_burned,static,2,health/hospital05,1.031771184495336,0.4768620359030934,51.58855922476679,23.843101795154663,0.3793804644607363,0.2333121440593245,0.4624183006535947,0.0336299757050665,0.0743013460909072,0.0094975291458495,1.872549019607843,0.0,5.09999999999999,0.0,6
wearable,calories_burned,static,3,health/hospital01/Device_10,0.9613161366368482,0.492767963940694,48.065806831842416,24.638398197034707,0.416112165778518,0.2770682190383699,0.4391025641025641,0.0461805478316099,0.070817422680396,0.0063029020469651,0.951923076923077,0.0,5.1999999999999895,0.0,6
