stream_id,dataset,sensor,clamp_mode,subscription_level,scope,n_pubs,payload_bound,P_min,P_max,epsilon,w,P,strategy,trial,seed,normalized_mae,mae,kl_divergence,release_rate,attribution_advantage,avg_n_tau,eps_count_spent
energy|power_kw|3|energy/building01/CT5,energy,power_kw,static,3,energy/building01/CT5,1,50.0,1,,1.0,8,1,p_gated_uniform,2,2077,8.010296979888963,400.5148489944481,1.0269458289424107,0.1641157302261281,1.0,0.1641157302261281,0.0
energy|power_kw|3|energy/building01/CT5,energy,power_kw,static,3,energy/building01/CT5,1,50.0,1,,1.0,8,1,p_gated_uniform,3,3077,8.27898167823557,413.9490839117785,0.7184145315026771,0.1641157302261281,1.0,0.1641157302261281,0.0
energy|power_kw|3|energy/building01/CT5,energy,power_kw,static,3,energy/building01/CT5,1,50.0,1,,1.0,8,1,p_gated_uniform,4,4077,7.863626555382034,393.1813277691017,0.8712359839188851,0.1641157302261281,1.0,0.1641157302261281,0.0
energy|power_kw|3|energy/building01/CT5,energy,power_kw,static,3,energy/building01/CT5,1,50.0,1,,1.0,8,1,p_gated_uniform,5,5077,7.838712908304022,391.9356454152011,0.7152360073015737,0.1641157302261281,1.0,0.1641157302261281,0.0
energy|power_kw|3|energy/building01/CT6,energy,power_kw,static,3,energy/building01/CT6,1,50.0,1,,1.0,8,1,p_gated_uniform,0,77,7.898403293125681,394.920164656284,0.726555350918148,0.9987162671280664,1.0,0.9987162671280664,0.0
energy|power_kw|3|energy/building01/CT6,energy,power_kw,static,3,energy/building01/CT6,1,50.0,1,,1.0,8,1,p_gated_uniform,1,1077,7.981613728756969,399.0806864378485,0.8584083927437222,0.9987162671280664,1.0,0.9987162671280664,0.0
energy|power_kw|3|energy/building01/CT6,energy,power_kw,static,3,energy/building01/CT6,1,50.0,1,,1.0,8,1,p_gated_uniform,2,2077,8.05518696685029,402.7593483425145,0.9380771841205376,0.9987162671280664,1.0,0.9987162671280664,0.0
energy|power_kw|3|energy/building01/CT6,energy,power_kw,static,3,energy/building01/CT6,1,50.0,1,,1.0,8,1,p_gated_uniform,3,3077,7.981723678454132,399.0861839227066,0.9854114307860063,0.9987162671280664,1.0,0.9987162671280664,0.0
energy|power_kw|3|energy/building01/CT6,energy,power_kw,static,3,energy/building01/CT6,1,50.0,1,,1.0,8,1,p_gated_uniform,4,4077,7.991713099988263,399.5856549994131,0.9135263389444708,0.9987162671280664,1.0,0.9987162671280664,0.0
energy|power_kw|3|energy/building01/CT6,energy,power_kw,static,3,energy/building01/CT6,1,50.0,1,,1.0,8,1,p_gated_uniform,5,5077,7.984849918533238,399.2424959266619,0.9944626984767342,0.9987162671280664,1.0,0.9987162671280664,0.0
energy|power_kw|3|energy/building01/CT7,energy,power_kw,static,3,energy/building01/CT7,1,50.0,1,,1.0,8,1,p_gated_uniform,0,77,7.898405355935567,394.9202677967783,0.7264396649181419,0.9987162671280664,1.0,0.9987162671280664,0.0
energy|power_kw|3|energy/building01/CT7,energy,power_kw,static,3,energy/building01/CT7,1,50.0,1,,1.0,8,1,p_gated_uniform,1,1077,7.981611617388491,399.0805808694245,0.8583422474230965,0.9987162671280664,1.0,0.9987162671280664,0.0
energy|power_kw|3|energy/building01/CT7,energy,power_kw,static,3,energy/building01/CT7,1,50.0,1,,1.0,8,1,p_gated_uniform,2,2077,8.055185232229503,402.7592616114752,0.9380772054523612,0.9987162671280664,1.0,0.9987162671280664,0.0
energy|power_kw|3|energy/building01/CT7,energy,power_kw,static,3,energy/building01/CT7,1,50.0,1,,1.0,8,1,p_gated_uniform,3,3077,7.981719862325612,399.0859931162806,0.9850367638584164,0.9987162671280664,1.0,0.9987162671280664,0.0
