dataset,clamp_mode,sensor,subscription_level,scope,P,epsilon,w,strategy,normalized_mae_mean,normalized_mae_std,mae_mean,mae_std,rmse_mean,rmse_std,relative_error_mean,relative_error_std,kl_divergence_mean,kl_divergence_std,kl_global_utility_mean,kl_global_utility_std,release_rate_mean,release_rate_std,attribution_advantage_mean,attribution_advantage_std,eps_count_spent_mean,eps_count_spent_std,n_trials
traffic,static,speed,3,traffic/intersection01/radar,3,1.0,4,budget_absorption,1.3198386431204658,0.1164547600662282,65.9919321560233,5.822738003311414,102.9496910144209,7.778435038788044,5.063304681036379,0.4467560749533857,0.5957394898010606,0.1147285515237053,0.7799142217786276,0.0349453135247114,0.5547619047619047,0.0308606699924183,0.25,0.0,0.0,0.0,6
traffic,static,speed,3,traffic/intersection01/radar,3,1.0,8,budget_absorption,2.314252990359373,0.2296247042226728,115.71264951796866,11.48123521113364,190.48541424742737,13.304409590200924,8.878182238614402,0.8809105914821544,0.6559500627318812,0.1856045206427221,0.9338245600892816,0.0664439493712441,0.4982142857142857,0.0446499994286628,0.25,0.0,0.0,0.0,6
traffic,static,speed,3,traffic/intersection01/radar,3,1.0,10,budget_absorption,2.948586906879949,0.3495709849257761,147.42934534399745,17.47854924628881,228.528911766742,25.66896832125625,11.311681140620422,1.3410612074097512,0.6801568289233798,0.1528479974828294,0.9355694470768664,0.0959906892604492,0.5261904761904762,0.0352590028065395,0.25,0.0,0.0,0.0,6
traffic,static,speed,3,traffic/intersection01/radar,3,1.0,12,budget_absorption,3.793894598189529,0.2985270425673262,189.69472990947645,14.926352128366297,310.01297004256725,44.55774390286869,14.554539964790491,1.145241033762585,0.6219196318439292,0.200716779755636,0.8298287938849018,0.0983930337135608,0.5255952380952381,0.0184081651507608,0.25,0.0,0.0,0.0,6
traffic,static,speed,3,traffic/intersection01/radar,3,2.0,4,budget_absorption,0.6175243196568644,0.0527341775773839,30.876215982843217,2.636708878869197,47.59965784834653,5.228219784088747,2.3690121475606936,0.2023044328713452,0.6616000914497311,0.1304966584605305,0.7529651447990492,0.0316047004656722,0.518452380952381,0.0404323992803373,0.25,0.0,0.0,0.0,6
traffic,static,speed,3,traffic/intersection01/radar,3,2.0,8,budget_absorption,1.1595704741713726,0.1111562737631785,57.97852370856864,5.557813688158931,89.89929073232459,6.004052208396175,4.448466970160986,0.4264294610597284,0.564613472363458,0.1072817520328231,0.9517570708249504,0.1345876093869746,0.4964285714285714,0.0493839600498388,0.25,0.0,0.0,0.0,6
traffic,static,speed,3,traffic/intersection01/radar,3,2.0,10,budget_absorption,1.5238990702662116,0.1139573063355103,76.19495351331058,5.697865316775522,125.01052208280254,6.418422640368666,5.84614288733296,0.4371750786465055,0.4842842734893087,0.113640123815505,0.8416823745281846,0.0902718955240944,0.5107142857142857,0.0321825152173394,0.25,0.0,0.0,0.0,6
traffic,static,speed,3,traffic/intersection01/radar,3,2.0,12,budget_absorption,2.003111857754605,0.2231898004467357,100.15559288773026,11.159490022336788,158.9616047505704,14.614933439369006,7.684549697703194,0.8562243326121389,0.6567096649097013,0.2009839151138285,0.8312440517751561,0.064198663546814,0.5482142857142857,0.0618073867852742,0.25,0.0,0.0,0.0,6
traffic,static,speed,3,traffic/intersection01/radar,3,4.0,4,budget_absorption,0.2869205641719713,0.0233015816418613,14.346028208598566,1.16507908209307,22.2785660745603,1.5562506650465808,1.1007150330307025,0.0893919934969046,0.4995751947586582,0.1439341317327125,0.6811591225892525,0.0420415439829749,0.4750889679715302,0.0352115405152001,0.25,0.0,0.0,0.0,6
traffic,static,speed,3,traffic/intersection01/radar,3,4.0,8,budget_absorption,0.5456914558513287,0.0767217828861459,27.28457279256644,3.836089144307297,44.77968429114676,5.081071640295055,2.0934393133702187,0.2943282229609811,0.3702866557321336,0.150738985235511,0.8087892656367318,0.0715220766505399,0.4608540925266904,0.0385755932182896,0.25,0.0,0.0,0.0,6
traffic,static,speed,3,traffic/intersection01/radar,3,4.0,10,budget_absorption,0.7095097998989544,0.0829909889569792,35.475489994947715,4.149549447848961,56.00550881712048,5.970729822524629,2.7218965816730254,0.3183788147589171,0.5755782620169444,0.0769980857522382,0.8826561778516172,0.0878208391820851,0.4792408066429419,0.0411746489203637,0.25,0.0,0.0,0.0,6
traffic,static,speed,3,traffic/intersection01/radar,3,4.0,12,budget_absorption,0.9252153395787052,0.0492090660935872,46.26076697893526,2.4604533046793606,71.8753492502726,6.00794925359801,3.549409001072822,0.1887810271352594,0.5799952057921661,0.1135566869909025,0.7999653800355105,0.1140989861958375,0.5225385527876631,0.0450380676312446,0.25,0.0,0.0,0.0,6
traffic,static,speed,3,traffic/intersection01/radar,6,0.5,4,budget_absorption,2.3228761451975832,0.3943754232381343,116.14380725987915,19.718771161906712,179.44777750254036,34.790848343972264,8.889402192311492,1.509233180242869,0.6448844129117854,0.2665391264644405,0.8340872297293095,0.0778671665747147,0.5248538011695907,0.0365555550877941,0.25,0.0,0.0,0.0,6
traffic,static,speed,3,traffic/intersection01/radar,6,0.5,8,budget_absorption,4.920696002202712,0.6357239017810457,246.0348001101356,31.78619508905229,385.39019218556,29.355881379786663,18.83098499251173,2.4328483711371334,0.5346129681997064,0.2084004947932652,0.8788871261283925,0.1245575162576857,0.5277777777777778,0.0305971484451116,0.25,0.0,0.0,0.0,6
traffic,static,speed,3,traffic/intersection01/radar,6,0.5,10,budget_absorption,5.688164133464454,1.0824949713224947,284.4082066732227,54.12474856612473,467.56595497269774,102.15692090306906,21.768004644925025,4.142594167637743,0.5535635343072891,0.3083793434039835,1.029040691014785,0.2492022970556417,0.4751461988304093,0.0684922406693433,0.25,0.0,0.0,0.0,6
traffic,static,speed,3,traffic/intersection01/radar,6,0.5,12,budget_absorption,7.07803054062077,1.454171996558204,353.90152703103854,72.7085998279102,558.0878439098288,103.7002628579429,27.08687690263833,5.564962970982225,0.580688615735215,0.2808115865744556,0.9339337172003064,0.1270667939059088,0.4956140350877193,0.0835408312337482,0.25,0.0,0.0,0.0,6
traffic,static,speed,4,traffic/intersection01/lidar/OS1_LIDAR_1,3,1.0,4,budget_absorption,4.911328012063458,1.403530450353828,245.56640060317287,70.17652251769141,364.8007407783536,108.58727694966358,21.17480349964217,6.051210877996351,0.5240544684973242,0.1257331156864246,0.9122180515444724,0.1150689909686811,0.5614035087719298,0.0543576609994023,1.0,0.0,0.0,0.0,6
traffic,static,speed,4,traffic/intersection01/lidar/OS1_LIDAR_1,3,1.0,8,budget_absorption,9.50290804819849,2.715179557779264,475.1454024099244,135.75897788896322,738.437501043163,216.2768999125071,40.97103881099343,11.706282590167673,0.5031215813794842,0.1488277160252482,0.8482058707803694,0.2332661235378496,0.5,0.150407264907739,1.0,0.0,0.0,0.0,6
traffic,static,speed,4,traffic/intersection01/lidar/OS1_LIDAR_1,3,1.0,10,budget_absorption,13.53662066116839,3.2888590096783457,676.8310330584195,164.4429504839173,1035.5380839340835,253.16686051130105,58.36207271137024,14.179656316359049,0.6082240485911249,0.2096761279260428,0.7646970070121429,0.3446194257054781,0.6081871345029239,0.0689959354561526,1.0,0.0,0.0,0.0,6
traffic,static,speed,4,traffic/intersection01/lidar/OS1_LIDAR_1,3,1.0,12,budget_absorption,15.28771320949778,3.5181536664878075,764.3856604748889,175.90768332439038,1142.13747555918,172.93741703932133,65.91177017191187,15.168242150889435,0.6469875603876768,0.2899979415700731,0.9483972419550236,0.2550817370284023,0.5584795321637427,0.1060883831989106,1.0,0.0,0.0,0.0,6
