dataset,ref_sensor,clamp_mode,subscription_level,scope,range_compatible_fraction,topic_hierarchy_depth_h,n_sensor_types,avg_n_tau,trial,seed,normalized_mae,kl_divergence,release_rate,eps_count_spent,dp_count_releases,epsilon,w,P,P_max,rho_split
manufacturing,quality,static,5,factory/line1/processing/machine5/quality,0.6,5,5,1.0,5,5077,0.8396704904532143,3.1093667151133686,0.485,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,quality,static,5,factory/line1/warehouse/machine6/quality,0.6,5,5,1.0,0,77,0.8702296808361785,2.365453344744469,0.465,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,quality,static,5,factory/line1/warehouse/machine6/quality,0.6,5,5,1.0,1,1077,0.8768801964092541,3.2280507736847417,0.488,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,quality,static,5,factory/line1/warehouse/machine6/quality,0.6,5,5,1.0,2,2077,0.8858680356873956,3.1753322832488458,0.469,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,quality,static,5,factory/line1/warehouse/machine6/quality,0.6,5,5,1.0,3,3077,0.9125061748604162,2.6821432904516413,0.488,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,quality,static,5,factory/line1/warehouse/machine6/quality,0.6,5,5,1.0,4,4077,0.8803653090140753,2.431954264613277,0.466,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,quality,static,5,factory/line1/warehouse/machine6/quality,0.6,5,5,1.0,5,5077,0.8370951753685899,3.1093667151133686,0.485,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,quality,static,5,factory/line1/robotics/machine7/quality,0.6,5,5,1.0,0,77,0.8710429194040167,2.365453344744469,0.465,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,quality,static,5,factory/line1/robotics/machine7/quality,0.6,5,5,1.0,1,1077,0.877962070436341,3.2280430185613103,0.488,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,quality,static,5,factory/line1/robotics/machine7/quality,0.6,5,5,1.0,2,2077,0.8866733801037585,3.083546521610134,0.469,12.499999999999824,1000,1.0,8,6,,0.1
