dataset,sensor,clamp_mode,scope,module,module_idx,normalized_mae_mean,normalized_mae_std,mae_mean,mae_std,kl_divergence_mean,kl_divergence_std,release_rate_mean,release_rate_std,avg_n_tau_mean,avg_n_tau_std,n_trials
manufacturing,temperature,static,pooled,M2_interval_ext,2,0.4340586476804471,0.0296965145565378,86.81172953608943,5.939302911307565,1.0413924114322983,0.954837216362554,0.5246666666666667,0.0110211917080988,10.0,0.0,6
manufacturing,temperature,static,pooled,M3_walk_up,3,0.4340586476804471,0.0296965145565378,86.81172953608943,5.939302911307565,1.0413924114322983,0.954837216362554,0.5246666666666667,0.0110211917080988,10.0,0.0,6
mobility,traffic_speed,static,leaf,M1_pgate,1,0.3262984184732957,0.0381535427917507,39.15581021679548,4.578425135010086,0.1327661572851208,0.0619551049117884,0.4740207833733014,0.0121964707419732,0.3345323741007194,0.0,6
mobility,traffic_speed,static,leaf,M2_interval_ext,2,0.3262984184732957,0.0381535427917507,39.15581021679548,4.578425135010086,0.1327661572851208,0.0619551049117884,0.4740207833733014,0.0121964707419732,0.3345323741007194,0.0,6
mobility,traffic_speed,static,leaf,M3_walk_up,3,0.4366712557225941,0.0357363114479914,52.40055068671128,4.288357373758976,0.8240291460067098,0.6136030252828802,0.4996003197442046,0.0114924580887773,5.08273381294964,0.0,6
mobility,traffic_speed,static,pooled,M1_pgate,1,0.4366712557225941,0.0357363114479914,52.40055068671128,4.288357373758976,0.8240291460067098,0.6136030252828802,0.4996003197442046,0.0114924580887773,5.08273381294964,0.0,6
mobility,traffic_speed,static,pooled,M2_interval_ext,2,0.4366712557225941,0.0357363114479914,52.40055068671128,4.288357373758976,0.8240291460067098,0.6136030252828802,0.4996003197442046,0.0114924580887773,5.08273381294964,0.0,6
mobility,traffic_speed,static,pooled,M3_walk_up,3,0.4366712557225941,0.0357363114479914,52.40055068671128,4.288357373758976,0.8240291460067098,0.6136030252828802,0.4996003197442046,0.0114924580887773,5.08273381294964,0.0,6
pune,pm10,static,leaf,M1_pgate,1,0.2533662025211455,0.0157940794730917,253.3662025211455,15.794079473091776,0.1926791955969113,0.1010378885397257,0.47291608195341,0.0073166261135842,0.9915801291046872,0.0,6
pune,pm10,static,leaf,M2_interval_ext,2,0.2489831311688787,0.0322539975108467,248.9831311688787,32.25399751084679,0.239102936640236,0.0656316066468921,0.4763908368396447,0.0107425201431286,0.9971949509116408,0.0,6
