dataset,sensor,clamp_mode,scope,module,module_idx,epsilon,w,P,P_max,k_ext,rho_split,strategy,payload_bound,trial,seed,normalized_mae,mae,kl_divergence,release_rate,avg_n_tau,n_logical_timestamps
energy,power_kw,static,pooled,M2_interval_ext,2,1.0,8,6,,4,0.1,p_gated_uniform,50.0,3,3077,0.2574428510826653,12.872142554133264,0.118462260467277,0.5136085754961895,7.86330011445161,35823
energy,power_kw,static,pooled,M2_interval_ext,2,1.0,8,6,,4,0.1,p_gated_uniform,50.0,4,4077,0.2645497013796114,13.22748506898057,0.1917123633019646,0.5174887642017698,7.86330011445161,35823
energy,power_kw,static,pooled,M2_interval_ext,2,1.0,8,6,,4,0.1,p_gated_uniform,50.0,5,5077,0.2542039536397817,12.710197681989088,0.1532668411924175,0.5114591184434581,7.86330011445161,35823
energy,power_kw,static,pooled,M3_walk_up,3,1.0,8,6,,4,0.1,p_gated_uniform,50.0,0,77,0.2560647136232145,12.803235681160723,0.0679619797677734,0.5086955308042319,7.86330011445161,35823
energy,power_kw,static,pooled,M3_walk_up,3,1.0,8,6,,4,0.1,p_gated_uniform,50.0,1,1077,0.2529590193821384,12.647950969106924,0.203157799632022,0.5167629735086398,7.86330011445161,35823
energy,power_kw,static,pooled,M3_walk_up,3,1.0,8,6,,4,0.1,p_gated_uniform,50.0,2,2077,0.2549714992265917,12.748574961329584,0.3352246814628736,0.5126873796164475,7.86330011445161,35823
energy,power_kw,static,pooled,M3_walk_up,3,1.0,8,6,,4,0.1,p_gated_uniform,50.0,3,3077,0.2574428510826653,12.872142554133264,0.118462260467277,0.5136085754961895,7.86330011445161,35823
energy,power_kw,static,pooled,M3_walk_up,3,1.0,8,6,,4,0.1,p_gated_uniform,50.0,4,4077,0.2645497013796114,13.22748506898057,0.1917123633019646,0.5174887642017698,7.86330011445161,35823
energy,power_kw,static,pooled,M3_walk_up,3,1.0,8,6,,4,0.1,p_gated_uniform,50.0,5,5077,0.2542039536397817,12.710197681989088,0.1532668411924175,0.5114591184434581,7.86330011445161,35823
manufacturing,temperature,static,leaf,M1_pgate,1,1.0,8,6,,0,0.1,p_gated_uniform,200.0,0,77,0.4747955027850182,94.95910055700364,2.242935136847666,0.465,1.0,1000
manufacturing,temperature,static,leaf,M1_pgate,1,1.0,8,6,,0,0.1,p_gated_uniform,200.0,1,1077,0.477328758108742,95.4657516217484,0.2850597775592034,0.488,1.0,1000
manufacturing,temperature,static,leaf,M1_pgate,1,1.0,8,6,,0,0.1,p_gated_uniform,200.0,2,2077,0.459539900537634,91.9079801075268,0.3369925110280195,0.469,1.0,1000
manufacturing,temperature,static,leaf,M1_pgate,1,1.0,8,6,,0,0.1,p_gated_uniform,200.0,3,3077,0.5134114344095946,102.68228688191893,0.1807271789464627,0.488,1.0,1000
manufacturing,temperature,static,leaf,M1_pgate,1,1.0,8,6,,0,0.1,p_gated_uniform,200.0,4,4077,0.4687818953000049,93.756379060001,2.638238236979407,0.466,1.0,1000
manufacturing,temperature,static,leaf,M1_pgate,1,1.0,8,6,,0,0.1,p_gated_uniform,200.0,5,5077,0.4253038547981324,85.06077095962648,0.0891223591382059,0.485,1.0,1000
manufacturing,temperature,static,leaf,M2_interval_ext,2,1.0,8,6,,0,0.1,p_gated_uniform,200.0,0,77,0.4747955027850182,94.95910055700364,2.242935136847666,0.465,1.0,1000
manufacturing,temperature,static,leaf,M2_interval_ext,2,1.0,8,6,,0,0.1,p_gated_uniform,200.0,1,1077,0.477328758108742,95.4657516217484,0.2850597775592034,0.488,1.0,1000
manufacturing,temperature,static,leaf,M2_interval_ext,2,1.0,8,6,,0,0.1,p_gated_uniform,200.0,2,2077,0.459539900537634,91.9079801075268,0.3369925110280195,0.469,1.0,1000
manufacturing,temperature,static,leaf,M2_interval_ext,2,1.0,8,6,,0,0.1,p_gated_uniform,200.0,3,3077,0.5134114344095946,102.68228688191893,0.1807271789464627,0.488,1.0,1000
manufacturing,temperature,static,leaf,M2_interval_ext,2,1.0,8,6,,0,0.1,p_gated_uniform,200.0,4,4077,0.4687818953000049,93.756379060001,2.638238236979407,0.466,1.0,1000
manufacturing,temperature,static,leaf,M2_interval_ext,2,1.0,8,6,,0,0.1,p_gated_uniform,200.0,5,5077,0.4253038547981324,85.06077095962648,0.0891223591382059,0.485,1.0,1000
manufacturing,temperature,static,leaf,M3_walk_up,3,1.0,8,6,,0,0.1,p_gated_uniform,200.0,0,77,0.4181128378804788,83.62256757609578,1.7176660899396758,0.513,10.0,1000
manufacturing,temperature,static,leaf,M3_walk_up,3,1.0,8,6,,0,0.1,p_gated_uniform,200.0,1,1077,0.4708135688500151,94.16271377000302,0.1541333481542649,0.535,10.0,1000
manufacturing,temperature,static,leaf,M3_walk_up,3,1.0,8,6,,0,0.1,p_gated_uniform,200.0,2,2077,0.4610936693775254,92.21873387550508,0.2749530202338915,0.536,10.0,1000
manufacturing,temperature,static,leaf,M3_walk_up,3,1.0,8,6,,0,0.1,p_gated_uniform,200.0,3,3077,0.4245546761076923,84.91093522153847,2.3638094658935094,0.532,10.0,1000
manufacturing,temperature,static,leaf,M3_walk_up,3,1.0,8,6,,0,0.1,p_gated_uniform,200.0,4,4077,0.4398687584676601,87.97375169353204,1.5464912001203075,0.512,10.0,1000
manufacturing,temperature,static,leaf,M3_walk_up,3,1.0,8,6,,0,0.1,p_gated_uniform,200.0,5,5077,0.3899083753993107,77.98167507986214,0.1913013442521415,0.52,10.0,1000
manufacturing,temperature,static,pooled,M1_pgate,1,1.0,8,6,,0,0.1,p_gated_uniform,200.0,0,77,0.4181128378804788,83.62256757609578,1.7176660899396758,0.513,10.0,1000
manufacturing,temperature,static,pooled,M1_pgate,1,1.0,8,6,,0,0.1,p_gated_uniform,200.0,1,1077,0.4708135688500151,94.16271377000302,0.1541333481542649,0.535,10.0,1000
manufacturing,temperature,static,pooled,M1_pgate,1,1.0,8,6,,0,0.1,p_gated_uniform,200.0,2,2077,0.4610936693775254,92.21873387550508,0.2749530202338915,0.536,10.0,1000
manufacturing,temperature,static,pooled,M1_pgate,1,1.0,8,6,,0,0.1,p_gated_uniform,200.0,3,3077,0.4245546761076923,84.91093522153847,2.3638094658935094,0.532,10.0,1000
manufacturing,temperature,static,pooled,M1_pgate,1,1.0,8,6,,0,0.1,p_gated_uniform,200.0,4,4077,0.4398687584676601,87.97375169353204,1.5464912001203075,0.512,10.0,1000
manufacturing,temperature,static,pooled,M1_pgate,1,1.0,8,6,,0,0.1,p_gated_uniform,200.0,5,5077,0.3899083753993107,77.98167507986214,0.1913013442521415,0.52,10.0,1000
