dataset,ref_sensor,clamp_mode,subscription_level,scope,range_compatible_fraction,topic_hierarchy_depth_h,normalized_mae_mean,normalized_mae_std,kl_divergence_mean,kl_divergence_std,release_rate_mean,release_rate_std,avg_n_tau_mean,avg_n_tau_std,n_trials
energy,voltage,static,4,energy/building01/CT7/voltage,0.3333333333333333,4,7.971459744139505,0.036045008499516,0.8276747216358656,0.0985827419160568,0.6098800919078317,0.0028205597707147,0.9987162671280664,0.0,6
energy,voltage,static,4,energy/building01/CT8/voltage,0.3333333333333333,4,7.971463049443741,0.0360460107012594,0.827658448088565,0.0985958242260008,0.6098800919078317,0.0028205597707147,0.9987162671280664,0.0,6
energy,voltage,static,4,energy/building01/CT9/voltage,0.3333333333333333,4,7.971463237783517,0.0360452527150791,0.8277087748871953,0.0985684029319111,0.6098800919078317,0.0028205597707147,0.9987162671280664,0.0,6
manufacturing,energy,static,1,factory,0.6,5,0.7924185052594656,0.0295343904661915,0.7825132073661439,0.1680163150009825,0.996,0.001414213562373,10.0,0.0,6
manufacturing,energy,static,2,factory/line1,0.6,5,0.7924185052594656,0.0295343904661915,0.7825132073661439,0.1680163150009825,0.996,0.001414213562373,10.0,0.0,6
manufacturing,energy,static,3,factory/line1/processing,0.6,5,2.674844067577189,0.0575243532652888,0.8528462094830599,0.1633611164330414,0.8635,0.0089610267268879,3.0,0.0,6
manufacturing,energy,static,3,factory/line1/robotics,0.6,5,3.965881907426097,0.1076718473648927,0.8653273150117191,0.1555103375782668,0.7668333333333334,0.0165095931708406,2.0,0.0,6
manufacturing,energy,static,3,factory/line1/sorting,0.6,5,2.6749531908119444,0.0572971382957399,0.846512764303507,0.1559517738821215,0.8635,0.0089610267268879,3.0,0.0,6
manufacturing,energy,static,3,factory/line1/warehouse,0.6,5,3.966494507772521,0.1079414730866512,0.8675194698318339,0.1563678703498138,0.7668333333333334,0.0165095931708406,2.0,0.0,6
manufacturing,energy,static,4,factory/line1/processing/machine1,0.6,5,7.924250648306429,0.1213466186034544,0.8941934150302635,0.1856970233215288,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,energy,static,4,factory/line1/processing/machine5,0.6,5,7.924570788773189,0.1217044375297527,0.8929251246472688,0.1866621357737979,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,energy,static,4,factory/line1/processing/machine9,0.6,5,7.924246912717872,0.1215858406069073,0.8346577673293449,0.0791368779480372,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,energy,static,4,factory/line1/robotics/machine3,0.6,5,7.924733225327586,0.1212366900104015,0.8923259556399966,0.18703820304869,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,energy,static,4,factory/line1/robotics/machine7,0.6,5,7.924373949836705,0.1216067536791834,0.8749126638237515,0.1387346052287573,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,energy,static,4,factory/line1/sorting/machine0,0.6,5,7.924599810914394,0.1215241906220943,0.895719964727158,0.1870455861586138,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,energy,static,4,factory/line1/sorting/machine4,0.6,5,7.924774053384827,0.1219990934501237,0.7989695431344241,0.0988247256338398,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,energy,static,4,factory/line1/sorting/machine8,0.6,5,7.924345365277982,0.1213239026574092,0.89694118837282,0.1862457030821764,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,energy,static,4,factory/line1/warehouse/machine2,0.6,5,7.924634586115169,0.1210997920431625,0.8453572303172062,0.0901742621371843,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,energy,static,4,factory/line1/warehouse/machine6,0.6,5,7.924574539785471,0.1216804483093736,0.8974007980921955,0.1893704894903949,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,energy,static,5,factory/line1/processing/machine1/energy,0.6,5,7.924250648306429,0.1213466186034544,0.8941934150302635,0.1856970233215288,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,energy,static,5,factory/line1/processing/machine5/energy,0.6,5,7.924570788773189,0.1217044375297527,0.8929251246472688,0.1866621357737979,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,energy,static,5,factory/line1/processing/machine9/energy,0.6,5,7.924246912717872,0.1215858406069073,0.8346577673293449,0.0791368779480372,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,energy,static,5,factory/line1/robotics/machine3/energy,0.6,5,7.924733225327586,0.1212366900104015,0.8923259556399966,0.18703820304869,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,energy,static,5,factory/line1/robotics/machine7/energy,0.6,5,7.924373949836705,0.1216067536791834,0.8749126638237515,0.1387346052287573,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,energy,static,5,factory/line1/sorting/machine0/energy,0.6,5,7.924599810914394,0.1215241906220943,0.895719964727158,0.1870455861586138,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,energy,static,5,factory/line1/sorting/machine4/energy,0.6,5,7.924774053384827,0.1219990934501237,0.7989695431344241,0.0988247256338398,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,energy,static,5,factory/line1/sorting/machine8/energy,0.6,5,7.924345365277982,0.1213239026574092,0.89694118837282,0.1862457030821764,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,energy,static,5,factory/line1/warehouse/machine2/energy,0.6,5,7.924634586115169,0.1210997920431625,0.8453572303172062,0.0901742621371843,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,energy,static,5,factory/line1/warehouse/machine6/energy,0.6,5,7.924574539785471,0.1216804483093736,0.8974007980921955,0.1893704894903949,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,machine_speed,static,1,factory,1.0,5,0.7924295919261323,0.0295240693268342,0.7814454457671092,0.1571918769889756,0.996,0.001414213562373,10.0,0.0,6
manufacturing,machine_speed,static,2,factory/line1,1.0,5,0.7924295919261323,0.0295240693268342,0.7814454457671092,0.1571918769889756,0.996,0.001414213562373,10.0,0.0,6
manufacturing,machine_speed,static,3,factory/line1/processing,1.0,5,2.674817751093,0.0573906814896502,0.8566268516384566,0.1645450761312728,0.8635,0.0089610267268879,3.0,0.0,6
manufacturing,machine_speed,static,3,factory/line1/robotics,1.0,5,3.965886118101432,0.1080903962404888,0.8662481522707061,0.1545393995093443,0.7668333333333334,0.0165095931708406,2.0,0.0,6
manufacturing,machine_speed,static,3,factory/line1/sorting,1.0,5,2.674887728870777,0.0574535285378555,0.8563867308762539,0.1661411526283609,0.8635,0.0089610267268879,3.0,0.0,6
manufacturing,machine_speed,static,3,factory/line1/warehouse,1.0,5,3.9658235014347647,0.1081387169354737,0.8656602140741589,0.1539746562617767,0.7668333333333334,0.0165095931708406,2.0,0.0,6
manufacturing,machine_speed,static,4,factory/line1/processing/machine1,1.0,5,7.924825972701761,0.1216879337551711,0.8950881622295227,0.1874372107980311,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,machine_speed,static,4,factory/line1/processing/machine5,1.0,5,7.92465907536597,0.1216391258140663,0.8950881622295227,0.1874372107980311,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,machine_speed,static,4,factory/line1/processing/machine9,1.0,5,7.924514873491229,0.1215677798458424,0.8938929543172197,0.1885300638201828,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,machine_speed,static,4,factory/line1/robotics/machine3,1.0,5,7.924539439368428,0.1216447950540564,0.8951441192160824,0.1877596461857404,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,machine_speed,static,4,factory/line1/robotics/machine7,1.0,5,7.924557311221631,0.1214269871508108,0.8957198169386024,0.1870499984988425,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,machine_speed,static,4,factory/line1/sorting/machine0,1.0,5,7.92467024124317,0.1214922412927094,0.895090092250161,0.1874376826461545,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,machine_speed,static,4,factory/line1/sorting/machine4,1.0,5,7.924538107909837,0.1216459490156601,0.8951392579114809,0.1877599952152797,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,machine_speed,static,4,factory/line1/sorting/machine8,1.0,5,7.924713639368428,0.1213445712131333,0.8945222754703911,0.188136674947512,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,machine_speed,static,4,factory/line1/warehouse/machine2,1.0,5,7.924698406035096,0.1213700909782091,0.8957227889792955,0.1870484839224138,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,machine_speed,static,4,factory/line1/warehouse/machine6,1.0,5,7.924758891637904,0.1215164700204509,0.8945161190384902,0.1881411888164113,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,machine_speed,static,5,factory/line1/processing/machine1/machine_speed,1.0,5,7.924825972701761,0.1216879337551711,0.8950881622295227,0.1874372107980311,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,machine_speed,static,5,factory/line1/processing/machine5/machine_speed,1.0,5,7.92465907536597,0.1216391258140663,0.8950881622295227,0.1874372107980311,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,machine_speed,static,5,factory/line1/processing/machine9/machine_speed,1.0,5,7.924514873491229,0.1215677798458424,0.8938929543172197,0.1885300638201828,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,machine_speed,static,5,factory/line1/robotics/machine3/machine_speed,1.0,5,7.924539439368428,0.1216447950540564,0.8951441192160824,0.1877596461857404,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,machine_speed,static,5,factory/line1/robotics/machine7/machine_speed,1.0,5,7.924557311221631,0.1214269871508108,0.8957198169386024,0.1870499984988425,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,machine_speed,static,5,factory/line1/sorting/machine0/machine_speed,1.0,5,7.92467024124317,0.1214922412927094,0.895090092250161,0.1874376826461545,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,machine_speed,static,5,factory/line1/sorting/machine4/machine_speed,1.0,5,7.924538107909837,0.1216459490156601,0.8951392579114809,0.1877599952152797,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,machine_speed,static,5,factory/line1/sorting/machine8/machine_speed,1.0,5,7.924713639368428,0.1213445712131333,0.8945222754703911,0.188136674947512,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,machine_speed,static,5,factory/line1/warehouse/machine2/machine_speed,1.0,5,7.924698406035096,0.1213700909782091,0.8957227889792955,0.1870484839224138,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,machine_speed,static,5,factory/line1/warehouse/machine6/machine_speed,1.0,5,7.924758891637904,0.1215164700204509,0.8945161190384902,0.1881411888164113,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,quality,static,1,factory,0.6,5,0.7924381552594656,0.0295253533049612,0.7831990374001004,0.1648136984806664,0.996,0.001414213562373,10.0,0.0,6
manufacturing,quality,static,2,factory/line1,0.6,5,0.7924381552594656,0.0295253533049612,0.7831990374001004,0.1648136984806664,0.996,0.001414213562373,10.0,0.0,6
manufacturing,quality,static,3,factory/line1/processing,0.6,5,2.674799693443168,0.0573003533552769,0.8583575167465566,0.1644615477430871,0.8635,0.0089610267268879,3.0,0.0,6
manufacturing,quality,static,3,factory/line1/robotics,0.6,5,3.9657727214727214,0.1078112712881668,0.8680996096751636,0.1529164917482786,0.7668333333333334,0.0165095931708406,2.0,0.0,6
manufacturing,quality,static,3,factory/line1/sorting,0.6,5,2.6749844681133035,0.0574281883751962,0.85514675305893,0.1644260860079815,0.8635,0.0089610267268879,3.0,0.0,6
manufacturing,quality,static,3,factory/line1/warehouse,0.6,5,3.965502163488228,0.1077130647298303,0.8682061478980874,0.153970636870924,0.7668333333333334,0.0165095931708406,2.0,0.0,6
manufacturing,quality,static,4,factory/line1/processing/machine1,0.6,5,7.924747056718043,0.1220790010680028,0.8615200036514633,0.1165845469402165,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,quality,static,4,factory/line1/processing/machine5,0.6,5,7.92478888259884,0.1214471421449662,0.8956205834809432,0.1863731481700237,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,quality,static,4,factory/line1/processing/machine9,0.6,5,7.924220285457147,0.1211043070630374,0.8567682133814541,0.1088500562114451,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,quality,static,4,factory/line1/robotics/machine3,0.6,5,7.924954820970302,0.1216492105323178,0.8940620660418005,0.189826779373628,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,quality,static,4,factory/line1/robotics/machine7,0.6,5,7.924538104255556,0.1217907904620367,0.8946867106771302,0.1847011232747826,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,quality,static,4,factory/line1/sorting/machine0,0.6,5,7.924513529821577,0.1218083020909486,0.88423348371615,0.1761333859677685,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,quality,static,4,factory/line1/sorting/machine4,0.6,5,7.924694358756316,0.1213367977136558,0.8178999192470768,0.0777841764069472,0.6095,0.014815532390029,1.0,0.0,6
