dataset,sensor,clamp_mode,subscription_level,scope,approach,epsilon,w,P,payload_bound,trial,seed,normalized_mae,mae,kl_divergence,release_rate,attribution_advantage,eps_count_spent,compute_ms_per_element,noise_scale,strategy,P_min,P_max
energy,power_kw,static,3,energy/building01/CT2,classic,1.0,8,6,50.0,4,4077,0.0,0.0,0.0,1.0,,0.0,0.0,,,,
energy,power_kw,static,3,energy/building01/CT2,classic,1.0,8,6,50.0,5,5077,0.0,0.0,0.0,1.0,,0.0,0.0,,,,
energy,power_kw,static,3,energy/building01/CT2,ldp,1.0,8,6,50.0,0,77,8.022951708120551,401.14758540602753,0.8771337603267426,1.0,1.0,0.0,0.03137720625665,400.0,,,
energy,power_kw,static,3,energy/building01/CT2,ldp,1.0,8,6,50.0,1,1077,8.056608590531265,402.8304295265633,0.8436595826258272,1.0,1.0,0.0,0.0315849958901868,400.0,,,
energy,power_kw,static,3,energy/building01/CT2,ldp,1.0,8,6,50.0,2,2077,8.011685287837933,400.5842643918967,0.9387715299275076,1.0,1.0,0.0,0.0318069431055222,400.0,,,
energy,power_kw,static,3,energy/building01/CT2,ldp,1.0,8,6,50.0,3,3077,8.040008869169707,402.0004434584854,0.8994027982737308,1.0,1.0,0.0,0.0341191414276571,400.0,,,
energy,power_kw,static,3,energy/building01/CT2,ldp,1.0,8,6,50.0,4,4077,8.021287480085567,401.0643740042784,0.8254305030878532,1.0,1.0,0.0,0.0332842926231737,400.0,,,
energy,power_kw,static,3,energy/building01/CT2,ldp,1.0,8,6,50.0,5,5077,8.090594568186749,404.5297284093375,0.808819736316133,1.0,1.0,0.0,0.0320305482929074,400.0,,,
energy,power_kw,static,3,energy/building01/CT2,per_type_wevent,1.0,8,6,50.0,0,77,7.9123616262979555,395.6180813148978,0.7275234063686086,0.997916842609014,1.0,0.0,0.2156160248611957,,,,
energy,power_kw,static,3,energy/building01/CT2,per_type_wevent,1.0,8,6,50.0,1,1077,7.976627626341386,398.8313813170693,0.858326869343401,0.997916842609014,1.0,0.0,0.170018829797416,,,,
energy,power_kw,static,3,energy/building01/CT2,per_type_wevent,1.0,8,6,50.0,2,2077,8.045570131750072,402.2785065875036,0.9380591492111938,0.997916842609014,1.0,0.0,0.166655308814087,,,,
energy,power_kw,static,3,energy/building01/CT2,per_type_wevent,1.0,8,6,50.0,3,3077,7.982779647312684,399.1389823656342,0.9840408746171312,0.997916842609014,1.0,0.0,0.1672471416518215,,,,
energy,power_kw,static,3,energy/building01/CT2,per_type_wevent,1.0,8,6,50.0,4,4077,7.996599012724528,399.8299506362264,0.9133475927544434,0.997916842609014,1.0,0.0,0.1667675136129996,,,,
energy,power_kw,static,3,energy/building01/CT2,per_type_wevent,1.0,8,6,50.0,5,5077,7.9962753209096284,399.81376604548143,0.994767534854662,0.997916842609014,1.0,0.0,0.1668619855560801,,,,
energy,power_kw,static,3,energy/building01/CT2,ours,1.0,8,6,50.0,0,77,0.8622096672607278,43.11048336303639,0.7479819594412226,0.3948427779185317,0.0645275237023189,1776.1499999989323,0.169635212397423,,p_gated_uniform,6.0,
energy,power_kw,static,3,energy/building01/CT2,ours,1.0,8,6,50.0,1,1077,0.8564553591415586,42.82276795707793,0.4635352688004308,0.4036539706668918,0.0638087854810164,1776.1499999989323,0.1686254197872297,,p_gated_uniform,6.0,
energy,power_kw,static,3,energy/building01/CT2,ours,1.0,8,6,50.0,2,2077,0.8385374795073954,41.92687397536977,0.5771944403406919,0.3945049686118853,0.0634276410089455,1776.1499999989323,0.1682524043843085,,p_gated_uniform,6.0,
energy,power_kw,static,3,energy/building01/CT2,ours,1.0,8,6,50.0,3,3077,0.8577884839003089,42.88942419501544,0.30109334306438,0.3992906004560426,0.0635570286863755,1776.1499999989323,0.1686647786792057,,p_gated_uniform,6.0,
energy,power_kw,static,3,energy/building01/CT2,ours,1.0,8,6,50.0,4,4077,0.8199806702402782,40.99903351201391,0.5804821621874799,0.3993187512315964,0.063190342675939,1776.1499999989323,0.1727289102586262,,p_gated_uniform,6.0,
energy,power_kw,static,3,energy/building01/CT2,ours,1.0,8,6,50.0,5,5077,0.858676406853252,42.9338203426626,0.3517355434650193,0.3984460771894266,0.0648497475617808,1776.1499999989323,0.1679846717632139,,p_gated_uniform,6.0,
energy,power_kw,static,3,energy/building01/CT3,classic,1.0,8,6,50.0,0,77,0.0,0.0,0.0,1.0,,0.0,0.0,,,,
energy,power_kw,static,3,energy/building01/CT3,classic,1.0,8,6,50.0,1,1077,0.0,0.0,0.0,1.0,,0.0,0.0,,,,
energy,power_kw,static,3,energy/building01/CT3,classic,1.0,8,6,50.0,2,2077,0.0,0.0,0.0,1.0,,0.0,0.0,,,,
energy,power_kw,static,3,energy/building01/CT3,classic,1.0,8,6,50.0,3,3077,0.0,0.0,0.0,1.0,,0.0,0.0,,,,
energy,power_kw,static,3,energy/building01/CT3,classic,1.0,8,6,50.0,4,4077,0.0,0.0,0.0,1.0,,0.0,0.0,,,,
energy,power_kw,static,3,energy/building01/CT3,classic,1.0,8,6,50.0,5,5077,0.0,0.0,0.0,1.0,,0.0,0.0,,,,
