dataset,sensor,clamp_mode,subscription_level,scope,approach,normalized_mae_mean,normalized_mae_std,mae_mean,mae_std,kl_divergence_mean,kl_divergence_std,release_rate_mean,release_rate_std,attribution_advantage_mean,attribution_advantage_std,eps_count_spent_mean,eps_count_spent_std,compute_ms_per_element_mean,compute_ms_per_element_std,eps_count_spent_mean.1,eps_count_spent_std.1,n_trials
energy,current,static,4,energy/building01/CT1/current,ldp,8.040813710439712,0.0304890447363899,804.0813710439712,3.0489044736389768,0.8662767659396214,0.0501640980908615,1.0,0.0,1.0,0.0,0.0,0.0,0.0335599573002458,0.0005120691304067,0.0,0.0,6
energy,current,static,4,energy/building01/CT1/current,ours,0.2633415117814263,0.0038378401856834,26.334151178142637,0.3837840185683396,0.2167759193738044,0.0895506764374758,0.4711532200299537,0.0031459968352322,0.028981490533844,0.0002434418074351,447.9124999997296,0.0,0.1761791718382589,0.0015427977424278,447.9124999997296,0.0,6
energy,current,static,4,energy/building01/CT1/current,per_type_wevent,7.982265915423998,0.0499015679774115,798.2265915423999,4.99015679774114,0.9011785101103524,0.0984506848257177,0.9987162671280664,0.0,1.0,0.0,0.0,0.0,0.1739633889610387,0.0008361554479206,0.0,0.0,6
energy,current,static,4,energy/building01/CT10/current,classic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6
energy,current,static,4,energy/building01/CT10/current,ldp,7.883354766904404,0.2093605209906034,788.3354766904404,20.936052099060365,0.8701099948000858,0.0992266133881892,1.0,0.0,1.0,0.0,0.0,0.0,0.0052045241640378,1.8759131844990174e-05,0.0,0.0,6
energy,current,static,4,energy/building01/CT10/current,ours,0.2533618384708819,0.0075944646443679,25.33618384708819,0.7594464644367911,0.1914604497275245,0.066750969368384,0.4672504256575975,0.0048817043357481,0.0288266121295148,0.0003613426808086,119.91250000001872,0.0,0.1761719465238327,0.0025401936654868,119.91250000001872,0.0,6
energy,current,static,4,energy/building01/CT10/current,per_type_wevent,7.878535688516446,0.3562296189874129,787.8535688516446,35.62296189874123,0.9002278773504945,0.0734186250275808,0.1314500156364015,0.0,1.0,0.0,0.0,0.0,0.1695617024581503,0.0014950057091406,0.0,0.0,6
energy,current,static,4,energy/building01/CT13/current,classic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6
energy,current,static,4,energy/building01/CT13/current,ldp,7.920449688448207,0.3214358999451854,792.0449688448207,32.14358999451853,0.8551791406059498,0.1197053622139347,1.0,0.0,1.0,0.0,0.0,0.0,0.0033620253008774,0.0001933034383601,0.0,0.0,6
energy,current,static,4,energy/building01/CT13/current,ours,0.2545343528398144,0.0083112812004451,25.453435283981445,0.8311281200445169,0.2076999068355008,0.0786159248227384,0.4664565751522273,0.0051608219586731,0.0288553085029935,0.0004090698655969,117.01250000001804,0.0,0.178946807225212,0.003048813764968,117.01250000001804,0.0,6
energy,current,static,4,energy/building01/CT13/current,per_type_wevent,8.32447601704885,0.8091505533271082,832.4476017048851,80.91505533271086,0.9225916953716284,0.1509105559479433,0.0714667236406366,0.0,1.0,0.0,0.0,0.0,0.1672377430296001,0.0019281434027166,0.0,0.0,6
energy,current,static,4,energy/building01/CT17/current,classic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6
energy,current,static,4,energy/building01/CT17/current,ldp,8.001572756536879,0.0354470669316992,800.1572756536879,3.54470669316991,0.8477262605722324,0.1254217763360804,1.0,0.0,1.0,0.0,0.0,0.0,0.0240807960518627,0.0012166460445731,0.0,0.0,6
energy,current,static,4,energy/building01/CT17/current,ours,0.2592643165940602,0.0051727471419698,25.926431659406017,0.5172747141969897,0.157701751257075,0.0506036656365215,0.4688738657169876,0.0040346082250638,0.0289469452046375,0.0002458073261032,207.0874999999486,0.0,0.1666401737970334,0.0119802047694512,207.0874999999486,0.0,6
energy,current,static,4,energy/building01/CT17/current,per_type_wevent,8.325284411840949,0.332573796667287,832.528441184095,33.2573796667287,0.8871259130452901,0.0747153546486108,0.6793625882779019,0.0,1.0,0.0,0.0,0.0,0.171624643439414,0.0016764535136438,0.0,0.0,6
energy,current,static,4,energy/building01/CT2/current,classic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6
energy,current,static,4,energy/building01/CT2/current,ldp,8.042293116816277,0.0425901227509974,804.2293116816277,4.259012275099762,0.9104817871296564,0.0802930937063217,1.0,0.0,1.0,0.0,0.0,0.0,0.0292718867891251,0.0005491751423033,0.0,0.0,6
energy,current,static,4,energy/building01/CT2/current,ours,0.2565553927008184,0.0049139582727823,25.65553927008185,0.4913958272782383,0.2290345577509473,0.0939823210735215,0.4700394417475728,0.0030620102377785,0.0290517553568371,0.0001796867024606,329.5999999998372,0.0,0.1767552572555153,0.0020551155051246,329.5999999998372,0.0,6
energy,current,static,4,energy/building01/CT2/current,per_type_wevent,8.001354714815355,0.0741555801486999,800.1354714815355,7.415558014870008,0.8160144177288142,0.0705249444910045,0.8814472087378641,0.0,1.0,0.0,0.0,0.0,0.1740231642899367,0.0015530356001441,0.0,0.0,6
energy,current,static,4,energy/building01/CT3/current,classic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6
