strategy,greedy_P,greedy_loss,greedy_nmae,greedy_kl,greedy_release_rate,greedy_evaluations,greedy_seed_P,greedy_n_restarts,greedy_restart_seeds_P,brute_P,brute_loss,brute_nmae,brute_kl,brute_release_rate,brute_evaluations,gap_loss,gap_P,speedup,dataset,sensor,clamp_mode
uniform,8,0.7837147921862203,0.7837147921862203,0.5063664496651339,1.0,6,4,2,4;8,9,0.7837147921862203,0.7837147921862203,0.5063664496651339,1.0,9,0.0,-1,1.5,pune,pm10,static
sample,8,0.2941098615685435,0.1274525503139827,0.8139372529105371,0.1667134437271961,6,4,2,4;8,9,0.2941098615685435,0.1274525503139827,0.8139372529105371,0.1667134437271961,9,0.0,-1,1.5,pune,pm10,static
budget_distribution,8,1.2366161800769166,1.1619599914718086,0.3471903212204252,0.6267190569744597,6,4,2,4;8,9,1.2366161800769166,1.1619599914718086,0.3471903212204252,0.6267190569744597,9,0.0,-1,1.5,pune,pm10,static
budget_absorption,8,1.0097237590835202,0.9104815474640984,0.2810102084042615,0.5037889419028908,6,4,2,4;8,9,1.0097237590835202,0.9104815474640984,0.2810102084042615,0.5037889419028908,9,0.0,-1,1.5,pune,pm10,static
p_gated_uniform,9,0.5479119962263607,0.4432810672339385,0.2559644373558205,0.4768453550378894,10,4,2,4;8,9,0.5479119962263607,0.4432810672339385,0.2559644373558205,0.4768453550378894,9,0.0,0,0.9,pune,pm10,static
p_gated_sample,8,0.2528606766383455,0.0683532390857212,0.8739922925558504,0.077462812236879,10,4,2,4;8,8,0.2528606766383455,0.0683532390857212,0.8739922925558504,0.077462812236879,9,0.0,0,0.9,pune,pm10,static
p_gated_ba,9,0.555883948304648,0.3991620847065565,0.3434259808780613,0.2163906820095425,10,4,2,4;8,9,0.555883948304648,0.3991620847065565,0.3434259808780613,0.2163906820095425,9,0.0,0,0.9,pune,pm10,static
n_weighted,9,0.5445083701058113,0.4392038514417641,0.5192980787978071,0.4734774066797642,7,4,2,4;8,9,0.5445083701058113,0.4392038514417641,0.5192980787978071,0.4734774066797642,9,0.0,0,1.2857142857142858,pune,pm10,static
uniform,6,0.9969142291022616,0.9969142291022616,0.8870029704864981,1.0,5,4,2,4;6,6,0.9969142291022616,0.9969142291022616,0.8870029704864981,1.0,6,0.0,0,1.2,traffic,speed,static
sample,6,0.3599247272648355,0.1933754314901876,0.4160752594892253,0.1672535211267605,5,4,2,4;6,6,0.3599247272648355,0.1933754314901876,0.4160752594892253,0.1672535211267605,6,0.0,0,1.2,traffic,speed,static
budget_distribution,6,1.6107865931088237,1.5386034945172744,0.419657499261234,0.6390845070422535,5,4,2,4;6,6,1.6107865931088237,1.5386034945172744,0.419657499261234,0.6390845070422535,6,0.0,0,1.2,traffic,speed,static
budget_absorption,6,1.4014748085674216,1.3053480480040414,0.4156481141129584,0.5193661971830986,5,4,2,4;6,6,1.4014748085674216,1.3053480480040414,0.4156481141129584,0.5193661971830986,6,0.0,0,1.2,traffic,speed,static
p_gated_uniform,6,0.7156396195698571,0.608245253372674,0.3971103161249174,0.4630281690140845,6,4,2,4;6,6,0.7156396195698571,0.608245253372674,0.3971103161249174,0.4630281690140845,6,0.0,0,1.0,traffic,speed,static
