P,strategy,normalized_mae,kl_divergence,release_rate,attribution_advantage,tuning_loss,avg_n_tau,pr_n_ge_P,deferrals,evaluated,iter,action,restart_idx
6,p_gated_uniform,0.5348641347515036,0.5788511284549461,0.48201438848920863,0.05332281653944921,0.6384612570536619,5.08273381294964,0.33213429256594723,432,True,2,probe_P=6,0
6,p_gated_uniform,0.5348641347515036,0.5788511284549461,0.48201438848920863,0.05332281653944921,0.6384612570536619,5.08273381294964,0.33213429256594723,432,True,2,step_to_P=6,0
6,p_gated_uniform,0.5348641347515036,0.5788511284549461,0.48201438848920863,0.05332281653944921,0.6384612570536619,5.08273381294964,0.33213429256594723,432,True,3,stop_local_optimum,0
5,p_gated_uniform,0.5652153076615929,0.7951050454086311,0.49160671462829736,0.05742456018733376,0.6668939647359334,5.08273381294964,0.7841726618705036,424,True,0,r1_seed,1
4,p_gated_uniform,0.610517026099428,0.24680656034524417,0.5107913669064749,0.061877725351521654,0.7083587527181331,5.08273381294964,0.9676258992805755,408,True,1,r1_probe_P=4,1
6,p_gated_uniform,0.5348641347515036,0.5788511284549461,0.48201438848920863,0.05332281653944921,0.6384612570536619,5.08273381294964,0.33213429256594723,432,True,1,r1_probe_P=6,1
6,p_gated_uniform,0.5348641347515036,0.5788511284549461,0.48201438848920863,0.05332281653944921,0.6384612570536619,5.08273381294964,0.33213429256594723,432,True,1,r1_step_to_P=6,1
6,p_gated_uniform,0.5348641347515036,0.5788511284549461,0.48201438848920863,0.05332281653944921,0.6384612570536619,5.08273381294964,0.33213429256594723,432,True,2,r1_stop_local_optimum,1
4,p_gated_sample,0.2969821471233354,2.7706419043639654,0.07074340527577938,0.06046555625626322,0.48283346606817956,5.08273381294964,0.9676258992805755,775,True,0,seed,0
3,p_gated_sample,0.29499390608190873,2.3586186223698298,0.0815347721822542,0.09658040910469896,0.4786869516454579,5.08273381294964,0.9988009592326139,766,True,1,probe_P=3,0
5,p_gated_sample,0.2852911587815602,2.612076648269064,0.0683453237410072,0.05381522489683386,0.47162209403335875,5.08273381294964,0.7841726618705036,777,True,1,probe_P=5,0
5,p_gated_sample,0.2852911587815602,2.612076648269064,0.0683453237410072,0.05381522489683386,0.47162209403335875,5.08273381294964,0.7841726618705036,777,True,1,step_to_P=5,0
6,p_gated_sample,0.28720600014041436,2.6691063242649684,0.0671462829736211,0.051204782484277324,0.47377674354569016,5.08273381294964,0.33213429256594723,778,True,2,probe_P=6,0
5,p_gated_sample,0.2852911587815602,2.612076648269064,0.0683453237410072,0.05381522489683386,0.47162209403335875,5.08273381294964,0.7841726618705036,777,True,2,stop_local_optimum,0
5,p_gated_sample,0.2852911587815602,2.612076648269064,0.0683453237410072,0.05381522489683386,0.47162209403335875,5.08273381294964,0.7841726618705036,777,True,0,r1_seed,1
