P,strategy,normalized_mae,kl_divergence,release_rate,attribution_advantage,tuning_loss,avg_n_tau,pr_n_ge_P,deferrals,evaluated,iter,action,restart_idx
8,p_gated_ba,0.326901570611125,0.2304335802413033,0.21681256078921773,0.04357788904009861,0.4835390584532815,7.827900514103098,0.7281367236348478,28183,True,0,r1_seed,1
7,p_gated_ba,0.34287687584898385,0.5536117955509549,0.2235931638182576,0.04590933945739098,0.49815824308533235,7.827900514103098,0.9818813394469919,27939,True,1,r1_probe_P=7,1
9,p_gated_ba,0.30620791157307,0.18244994957973162,0.2078365985827428,0.041187136057312876,0.4646405918565214,7.827900514103098,0.12496873697373906,28506,True,1,r1_probe_P=9,1
9,p_gated_ba,0.30620791157307,0.18244994957973162,0.2078365985827428,0.041187136057312876,0.4646405918565214,7.827900514103098,0.12496873697373906,28506,True,1,r1_step_to_P=9,1
10,p_gated_ba,0.2866156244139906,0.6356450314330735,0.19911074058635542,0.038752374351091884,0.4467934762967195,7.827900514103098,0.022926219258024176,28820,True,2,r1_probe_P=10,1
10,p_gated_ba,0.2866156244139906,0.6356450314330735,0.19911074058635542,0.038752374351091884,0.4467934762967195,7.827900514103098,0.022926219258024176,28820,True,2,r1_step_to_P=10,1
11,p_gated_ba,0.27186765387574463,0.16470355222123953,0.1925524524107267,0.03724079417155082,0.4333571633935993,7.827900514103098,0.002806725024315687,29056,True,3,r1_probe_P=11,1
11,p_gated_ba,0.27186765387574463,0.16470355222123953,0.1925524524107267,0.03724079417155082,0.4333571633935993,7.827900514103098,0.002806725024315687,29056,True,3,r1_step_to_P=11,1
12,p_gated_ba,0.26056519992172855,0.16520976104128873,0.18435459219119077,0.03554334729989348,0.4236942814834904,7.827900514103098,0.00019452549673475058,29351,True,4,r1_probe_P=12,1
12,p_gated_ba,0.26056519992172855,0.16520976104128873,0.18435459219119077,0.03554334729989348,0.4236942814834904,7.827900514103098,0.00019452549673475058,29351,True,4,r1_step_to_P=12,1
12,p_gated_ba,0.26056519992172855,0.16520976104128873,0.18435459219119077,0.03554334729989348,0.4236942814834904,7.827900514103098,0.00019452549673475058,29351,True,5,r1_stop_local_optimum,1
4,n_weighted,0.7866383977229211,0.00010664947740787398,0.5577879672085592,0.0608707954541398,0.8750808042812093,7.827900514103098,0.9944977073780742,15913,True,0,seed,0
3,n_weighted,0.6654425433888714,0.0006561985937285393,0.5710712796998749,0.06779036474813872,0.7512282874488965,7.827900514103098,0.9944977073780742,15435,True,1,probe_P=3,0
5,n_weighted,0.5797032896106389,0.0005747426174876994,0.5441433930804502,0.055725898553700144,0.6708746109945488,7.827900514103098,0.9944977073780742,16404,True,1,probe_P=5,0
5,n_weighted,0.5797032896106389,0.0005747426174876994,0.5441433930804502,0.055725898553700144,0.6708746109945488,7.827900514103098,0.9944977073780742,16404,True,1,step_to_P=5,0
6,n_weighted,0.4212948452007593,0.01461145000497164,0.5295539808253439,0.05179741813022595,0.5153840490356906,7.827900514103098,0.9944977073780742,16929,True,2,probe_P=6,0
6,n_weighted,0.4212948452007593,0.01461145000497164,0.5295539808253439,0.05179741813022595,0.5153840490356906,7.827900514103098,0.9944977073780742,16929,True,2,step_to_P=6,0
7,n_weighted,0.4147694362030802,0.0009398449052934551,0.5136028900930943,0.04815208015142177,0.5120488581844613,7.827900514103098,0.9818813394469919,17503,True,3,probe_P=7,0
7,n_weighted,0.4147694362030802,0.0009398449052934551,0.5136028900930943,0.04815208015142177,0.5120488581844613,7.827900514103098,0.9818813394469919,17503,True,3,step_to_P=7,0
8,n_weighted,0.3617024728195509,0.0071826882727799605,0.4975128525774628,0.04503332087783031,0.4621999023040584,7.827900514103098,0.7281367236348478,18082,True,4,probe_P=8,0
